variant,mode,partition,alpha,n_seeds,n_params,acc_mean,acc_std,f1m_mean,f1m_std,total_mb_mean
kan_h16,binary,dirichlet,0.1,23,6560,0.9277,0.0990,0.9216,0.1240,13.77
kan_h16,binary,dirichlet,1.0,3,6560,0.9969,0.0002,0.9969,0.0002,13.77
kan_h16,binary,iid,,3,6560,0.9756,0.0002,0.9756,0.0002,13.77
kan_h16,multiclass,dirichlet,0.1,23,7040,0.8381,0.0656,0.7510,0.0563,15.75
kan_h16,multiclass,dirichlet,1.0,3,7040,0.9337,0.0023,0.9371,0.0006,14.69
kan_h16,multiclass,iid,,3,7040,0.9353,0.0020,0.9382,0.0021,14.69
kan_h8,binary,dirichlet,0.1,26,3280,0.9145,0.1013,0.9094,0.1209,7.33
kan_h8,binary,dirichlet,1.0,6,3280,0.9968,0.0006,0.9968,0.0006,7.33
kan_h8,binary,iid,,6,3280,0.9752,0.0005,0.9752,0.0005,7.33
kan_h8,multiclass,dirichlet,0.1,23,3520,0.8082,0.0784,0.7075,0.0746,8.32
kan_h8,multiclass,dirichlet,1.0,3,3520,0.9333,0.0016,0.9363,0.0017,7.79
kan_h8,multiclass,iid,,3,3520,0.9325,0.0008,0.9357,0.0011,7.79
mlp_h32,binary,dirichlet,0.1,26,1346,0.8379,0.1473,0.8233,0.1699,2.57
mlp_h32,binary,dirichlet,1.0,6,1346,0.9973,0.0002,0.9973,0.0002,2.57
mlp_h32,binary,iid,,6,1346,0.9900,0.0107,0.9900,0.0107,2.57
mlp_h32,multiclass,dirichlet,0.1,23,1445,0.7899,0.0894,0.6883,0.0622,2.98
mlp_h32,multiclass,dirichlet,1.0,3,1445,0.9302,0.0011,0.9336,0.0008,2.76
mlp_h32,multiclass,iid,,3,1445,0.9304,0.0011,0.9335,0.0011,2.76
mlp_h80,binary,dirichlet,0.1,23,3362,0.8584,0.1245,0.8500,0.1404,6.41
mlp_h80,binary,dirichlet,1.0,3,3362,0.9976,0.0001,0.9976,0.0001,6.41
mlp_h80,binary,iid,,3,3362,0.9974,0.0000,0.9974,0.0000,6.41
mlp_h80,multiclass,dirichlet,0.1,23,3605,0.8095,0.0812,0.7177,0.0659,7.41
mlp_h80,multiclass,dirichlet,1.0,3,3605,0.9319,0.0021,0.9352,0.0015,6.88
mlp_h80,multiclass,iid,,3,3605,0.9363,0.0049,0.9390,0.0034,6.88
