round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,2.6768340000000004,30760,153760,0.7303178060015033,0.7088810714065297,0.7090531133816171
2,1.8561767500000013,31096,153760,0.8764237670322046,0.874483607646453,0.874517592766681
3,1.6619577499999991,33912,153760,0.9646539595659799,0.9646484288546575,0.9646474658802671
4,1.6337847500000002,32816,153760,0.9612234278335614,0.9612165095837755,0.9612153814997555
5,1.7160182089999996,31576,153760,0.9687204887544086,0.9687043579017403,0.9687028105449054
6,1.7205192920000023,31048,153760,0.9704550272708,0.9704347157354519,0.9704330280858238
7,1.7192068340000013,30848,153760,0.969992483666429,0.9699702452398754,0.9699684655357673
8,1.7109423749999983,30960,153760,0.970898298224989,0.9708774885822854,0.9708757932040407
9,1.7036360419999994,31000,153760,0.9706477537726212,0.9706269764442497,0.9706252751122887
10,1.7663572920000021,30920,153760,0.9711102973769923,0.9710906113029467,0.9710889683735765
11,1.6616675,30824,153760,0.9713222965289957,0.971302552198944,0.9713009128827824
12,1.750547375,31008,153760,0.9713415691791778,0.971322040698787,0.97132041092162
13,1.7205188329999999,31056,153760,0.9714186597799064,0.971399068509689,0.9713974383082645
14,1.6944190830000032,30944,153760,0.9723244743384662,0.9723070104258033,0.9723054959038302
15,1.7258844159999995,30808,153760,0.9731339256461156,0.9731184490338513,0.9731170443292843
16,1.7227763750000022,30920,153760,0.9731917435966619,0.9731776827311696,0.9731763452919433
17,1.7761445419999973,31040,153760,0.9734615606992117,0.9734480601680394,0.9734467562705844
18,1.648003291000002,30952,153760,0.9748106462119606,0.9747994023675923,0.9747982431026164
19,1.7071502920000015,30856,153760,0.9746757376606857,0.9746642470992803,0.9746630720463946
20,1.7291816250000025,30912,153760,0.9748106462119606,0.9747990298397559,0.9747978515183383
21,1.760551165999999,30904,153760,0.9749455547632355,0.9749343098028533,0.9749331535876365
22,1.7321540410000011,30848,153760,0.9743288299574074,0.9743165406298548,0.9743153171109002
23,1.7325947909999968,31120,153760,0.9742902846570431,0.9742781067208831,0.9742768878486192
24,1.6955680410000014,30984,153760,0.9749262821130533,0.9749149669518979,0.9749138066858267
25,1.7065623749999972,30792,153760,0.9746757376606857,0.974663953954918,0.9746627640007163
26,1.6589694999999978,30952,153760,0.9751382812650567,0.9751262109867402,0.9751250176871342
27,1.7037014169999978,30888,153760,0.9749070094628712,0.9748945696308409,0.9748933525736811
28,1.7066323750000052,30976,153760,0.9751575539152388,0.9751454718702524,0.9751442784514731
29,1.7466293749999977,30760,153760,0.9752153718657852,0.9752031699031495,0.9752019719693721
30,1.6999772919999998,30808,153760,0.9752731898163316,0.9752611640104996,0.9752599761468116
31,1.6686840829999952,31056,153760,0.9754080983676066,0.9753962841624277,0.9753951100153871
32,1.671561374999996,30880,153760,0.975331007766878,0.9753190729534476,0.9753178909780595
33,1.6669368330000012,31184,153760,0.9753695530672423,0.9753577619556716,0.9753565880388368
34,1.679198709000005,31144,153760,0.9754080983676066,0.9753964499069316,0.9753952840291139
35,1.6727472919999968,30760,153760,0.9752539171661495,0.9752421124300323,0.975240935082123
36,1.7240283750000032,31048,153760,0.9972440110239559,0.9972440108765472,0.997244012264645
37,1.6764814579999978,30792,153760,0.9972054657235917,0.9972054656197928,0.9972054667927194
38,1.669126250000005,30776,153760,0.9972632836741381,0.9972632833803659,0.9972632853330864
39,1.6922181659999893,30800,153760,0.9972054657235917,0.9972054656862241,0.99720546638998
40,1.5859477080000062,30824,153760,0.9972825563243202,0.9972825562233848,0.9972825573639547
41,1.690723458000008,30752,153760,0.9973211016246845,0.9973211016087637,0.9973211020585203
42,1.6449021660000085,30944,153760,0.9972632836741381,0.9972632836731214,0.9972632837879875
43,1.6682701249999923,30800,153760,0.9973018289745023,0.9973018289654825,0.9973018293052268
44,1.6447767500000054,30928,153760,0.9753695530672423,0.9753578034934434,0.9753566316471597
45,1.6706288339999986,30928,153760,0.9972632836741381,0.9972632836649894,0.9972632840095871
46,1.6647894580000013,30808,153760,0.9973596469250486,0.9973596468622826,0.9973596477488532
47,1.6025430830000005,30984,153760,0.9973789195752308,0.9973789195275262,0.9973789202976132
48,1.6548030830000044,30976,153760,0.9973789195752308,0.9973789194963723,0.9973789204864841
49,1.6179898329999958,30872,153760,0.9972440110239559,0.9972440109215888,0.9972440120783369
50,1.6102209170000066,30832,153760,0.9972054657235917,0.9972054657194397,0.9972054659540249
