round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,1.4456914999999997,27520,134480,0.4110856283847592,0.32180586855301035,0.3212699813299684
2,0.676458792,29720,134480,0.30874785591766724,0.2649766371821957,0.26458600792006426
3,0.6570225829999998,31928,134480,0.32378052305972593,0.29504388632802375,0.2953538557773062
4,0.6850412499999994,27432,134480,0.542640738527955,0.42020236812899164,0.4207826204295739
5,0.6172153750000007,27376,134480,0.544471640295257,0.423750231087033,0.4243246350299582
6,0.668843292,28232,134480,0.5443367317439821,0.4235152334251779,0.4240899925945819
7,0.6768740830000013,28376,134480,0.5413109256653883,0.4176129059154628,0.41819743634793644
8,0.7080007090000002,29240,134480,0.5354327673598397,0.4060374766987035,0.4066412287775172
9,0.7098370000000003,29488,134480,0.5353556767591111,0.4058842467407122,0.40648825432027125
10,0.7220921669999996,30000,134480,0.5359145836143928,0.4069943213716797,0.40759647859209164
11,0.661566624999999,29952,134480,0.5357411297627537,0.40665002451087706,0.40725275547912193
12,0.6392837090000008,30608,134480,0.5398462042515466,0.41474836745250726,0.4153376398506185
13,0.6894409580000023,30768,134480,0.5392487520959007,0.41357618654109923,0.4141674021908782
14,0.6490088749999998,31016,134480,0.5435658257366971,0.42199747199538795,0.4225747633037073
15,0.6688213330000004,30824,134480,0.5637828357777478,0.4600453655363165,0.46056079156354596
16,0.6806092079999999,30896,134480,0.5274924354848035,0.43639996094511835,0.4368934149059518
17,0.6881196669999987,31144,134480,0.48091043999460364,0.4067346885339032,0.40719154033065796
18,0.6548677919999975,31176,134480,0.4342706265538574,0.37499659695105003,0.37541576994968057
19,0.6780076249999993,31560,134480,0.3564283924682483,0.335893562045812,0.33614788425512104
20,0.6623377919999989,31448,134480,0.35378803939329695,0.3344208193246062,0.3346680790543273
21,0.696931333000002,31264,134480,0.3535953128914757,0.3339143994997554,0.33416374844170676
22,0.6545785419999994,31544,134480,0.35421203769730375,0.3350551707411265,0.33530096680857835
23,0.6457979159999994,31584,134480,0.35612003006533427,0.3374767746567089,0.33771881140546517
24,0.654835417000001,31728,134480,0.36082255670977315,0.3403077978765126,0.340561149542978
25,0.6120802920000017,31688,134480,0.3560429394646058,0.3373798138086554,0.33762199722610164
26,0.6367185420000006,31832,134480,0.3573534796769904,0.33910479723882214,0.33934396461478045
27,0.6752077090000022,31864,134480,0.3562934839169734,0.338366051170608,0.33860323650023444
28,0.6674464170000007,31864,134480,0.5780445969125214,0.5222276212640519,0.522583263680081
29,0.661450459000001,32016,134480,0.5428912829803226,0.4956178641344114,0.4959541497075677
30,0.6132326670000019,32040,134480,0.5304218783124868,0.4860746108463959,0.4864033893022199
31,0.640891958000001,32016,134480,0.4805442596411433,0.44813551290126086,0.44842676376666624
32,0.653851207999999,32024,134480,0.29814789831749766,0.29590579411649365,0.2959923234111362
33,0.708154750000002,32096,134480,0.33362884730279263,0.3280472274400509,0.32818060088993245
34,0.6736826249999979,32248,134480,0.24458920346136798,0.24458378221952104,0.2445793750229117
35,0.6803498749999974,32264,134480,0.24422302310790756,0.2442187067009311,0.24421477320102516
36,0.6065302919999986,32136,134480,0.29577736234509605,0.2941869806593298,0.2942599457955424
37,0.6713129579999944,32352,134480,0.24676701293194828,0.2467483893867159,0.2467402325626412
38,0.6817726669999971,32344,134480,0.48104534854587855,0.4519566498882103,0.4522316225290265
39,0.6902047499999995,32016,134480,0.2477306454410546,0.24769872211914618,0.24768804952927737
40,0.7012266670000002,32368,134480,0.2517200840287548,0.25162233485802077,0.2516037081189096
41,0.6727779580000046,32328,134480,0.2484630061479754,0.24842311836578435,0.24841119424042035
42,0.6127154590000004,32408,134480,0.2499855455123634,0.2499247849963508,0.24991008277299012
43,0.6872320000000016,32560,134480,0.25852332954304547,0.2585222708638775,0.25852420039203844
44,0.6371587080000012,32680,134480,0.24884845915161793,0.24880984747652918,0.24879811866124685
45,0.6802751250000014,32552,134480,0.24994700021199914,0.2498952443750037,0.24988167497922534
46,0.6651510830000049,32656,134480,0.48277988706226993,0.45375766982552457,0.4540318763930623
47,0.6633044579999989,32536,134480,0.248096825794515,0.24806472892103132,0.24805402996320344
48,0.6893549170000028,32512,134480,0.2504288164665523,0.2503688696049006,0.25035427047695524
49,0.6177342079999946,32608,134480,0.24981209166072427,0.24975515883170749,0.24974092562445327
50,0.6698733329999982,32608,134480,0.250081908763274,0.2500208955712163,0.2500061637534759
