round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,1.484592459,134480,134480,0.5730337078651685,0.48229189645173154,0.4818198702725796
2,0.6992984579999995,134480,134480,0.8168520053192514,0.8125056498215317,0.8124434804327668
3,0.7120490000000004,134480,134480,0.899338948098753,0.8992412134585219,0.8992343792912286
4,0.7219820829999986,134480,134480,0.9073756432246999,0.9073249946651343,0.90732027637393
5,0.7127353749999994,134480,134480,0.9129839844276987,0.9129530591149786,0.9129494859448994
6,0.64157975,134480,134480,0.925993023300634,0.9259912637291785,0.9259904778336273
7,0.6817298750000003,134480,134480,0.9266290207566442,0.9266270044483559,0.9266261667908685
8,0.8685899999999993,134480,134480,0.9403704203365004,0.9403590953111349,0.9403573054819513
9,0.6579949579999997,134480,134480,0.945323491433307,0.9453130197690756,0.9453113717216407
10,0.6884675419999979,134480,134480,0.9511631044384914,0.9511463462642197,0.9511443757400858
11,0.7454240839999997,134480,134480,0.9544009096690886,0.9543856509954858,0.9543838341038977
12,0.673453207999998,134480,134480,0.9560198122843873,0.9560029098702982,0.9560010318242884
13,0.6967552919999989,134480,134480,0.9575230789985931,0.9575056440946017,0.9575037695521174
14,0.7035814579999986,134480,134480,0.9591034363135275,0.9590837199658611,0.9590817639102981
15,0.7428334999999997,134480,134480,0.961473972285929,0.9614509507096614,0.9614488991023123
16,0.6963245410000027,134480,134480,0.9630736022510455,0.963066110267718,0.9630649646735151
17,0.7454327499999991,134480,134480,0.9647503228168905,0.9647418572819595,0.9647406674741893
18,0.7259257079999983,134480,134480,0.9666004972343747,0.9665898562159484,0.9665885576899418
19,0.7493454590000006,134480,134480,0.9674292211922061,0.9674177637032653,0.9674164330801919
20,0.6196113339999982,134480,134480,0.9667932237361959,0.966782506530649,0.9667812071269721
21,0.6728653750000007,134480,134480,0.9677954015456666,0.9677841426436554,0.9677828310396066
22,0.7180649999999993,134480,134480,0.969221577659144,0.9692087755604206,0.9692074082285154
23,0.6931195420000016,134480,134480,0.9674677664925704,0.9674572444394798,0.9674559700643466
24,0.7311875830000005,134480,134480,0.9690288511573226,0.969016971766901,0.9690156505354861
25,0.6871782079999988,134480,134480,0.9695684853624222,0.9695553442701044,0.969553966771559
26,0.7262084999999985,134480,134480,0.9691059417580512,0.9690932852377698,0.969091923155111
27,0.635275208000003,134480,134480,0.969086669107869,0.9690740769862101,0.9690727179511123
28,0.7184736250000014,134480,134480,0.9696263033129686,0.9696132115212747,0.9696118379163893
29,0.6880209169999993,134480,134480,0.9697033939136971,0.9696902381280277,0.9696888629163899
30,0.7076613750000007,134480,134480,0.9695877580126043,0.9695746982675308,0.9695733254757232
31,0.7105650419999989,134480,134480,0.9697612118642435,0.9697480081713027,0.9697466317715774
32,0.7319935419999979,134480,134480,0.9700310289667933,0.9700182313324626,0.9700168823280975
33,0.6662082500000039,134480,134480,0.9698961204155183,0.969882756355314,0.9698813747095656
34,0.6577953329999957,134480,134480,0.9697997571646078,0.9697865215761352,0.9697851443924358
35,0.679180707999997,134480,134480,0.9700888469173397,0.9700761453936211,0.9700748027629568
36,0.7227370420000057,134480,134480,0.9699732110162469,0.9699605080747205,0.9699591627772579
37,0.6711913749999994,134480,134480,0.971823385433731,0.9718081806560386,0.9718067548138152
38,0.6994498339999993,134480,134480,0.9698383024649719,0.9698252778864556,0.9698239126013235
39,0.682217332999997,134480,134480,0.9719004760344595,0.9718851613956624,0.9718837323666085
40,0.7241719590000031,134480,134480,0.970917570875171,0.9709065909708868,0.9709053600887597
41,0.6419090420000018,134480,134480,0.9706092084722571,0.9705977569491488,0.9705964932556809
42,0.7441598340000013,134480,134480,0.9717270221828204,0.9717109698602944,0.9717095022935908
43,0.6872010829999979,134480,134480,0.970763389673714,0.9707518642867472,0.9707505998510898
44,0.689465792,134480,134480,0.9697612118642435,0.9697479593828693,0.969746580441437
45,0.6930760839999976,134480,134480,0.9701081195675217,0.9700945319368015,0.9700931436888165
46,0.7169760000000025,134480,134480,0.9695106674118759,0.969496833265648,0.9694954185520517
47,0.6667876670000012,134480,134480,0.9708212076242604,0.970810213193683,0.9708089794591693
48,0.6549665840000003,134480,134480,0.9726135640911981,0.9726003841985018,0.9725990754745347
49,0.6975586669999956,134480,134480,0.9717270221828204,0.9717119422417855,0.9717105198433407
50,0.6682712500000036,134480,134480,0.972575018790834,0.9725618203479719,0.9725605097820287
