round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,2.0787527089999998,134480,134480,0.9034825678879103,0.9032667211903893,0.9032766725069211
2,1.1581635420000005,134480,134480,0.8966022317728911,0.8962875742508146,0.896300015223521
3,1.0174330420000004,134480,134480,0.8872164511341954,0.8866527894253398,0.8866701968517133
4,1.0243392080000007,134480,134480,0.8740146857594387,0.8720298458784239,0.8720645544681104
5,1.093990875000003,134480,134480,0.9155279742517394,0.9149267350351118,0.9149423104664458
6,1.1325499170000022,134480,134480,0.9124636228727813,0.9117843822405113,0.9118012401784524
7,1.2395663330000026,134480,134480,0.9151617938982789,0.9145374179931178,0.9145533265562031
8,1.0645167500000028,134480,134480,0.9038102029410064,0.9028888576612383,0.9029094575853803
9,1.2286856670000006,134480,134480,0.9145836143928151,0.9139377295865276,0.9139539665126925
10,1.113319292,134480,134480,0.9135236186327982,0.9128564589612103,0.9128730644772652
11,1.1172389999999979,134480,134480,0.9171276042168559,0.9165391116249773,0.9165543743431049
12,1.0876725829999998,134480,134480,0.9211170428045561,0.9206189810545322,0.9206326747230852
13,1.153638082999997,134480,134480,0.921271224006013,0.920776566903818,0.9207902001361468
14,1.1603999169999994,134480,134480,0.9207701351012778,0.9202820550712307,0.920295639564678
15,1.16946875,134480,134480,0.9209821342532811,0.9204956014393035,0.9205091462059898
16,1.253986334000004,134480,134480,0.9209050436525527,0.9204146500139793,0.9204282553371217
17,1.2586390830000056,134480,134480,0.9225432189180334,0.9220861800873335,0.9220991759071294
18,1.1020052080000013,134480,134480,0.9813440746237015,0.9813381949153207,0.9813389163127659
19,1.1944147920000034,134480,134480,0.8781390328984139,0.8763226894323908,0.8763553304647796
20,1.2073999170000036,134480,134480,0.9803033515138667,0.980296308338618,0.9802971196319953
21,1.114483958000001,134480,134480,0.8744386840634456,0.8724054013549498,0.8724404793619819
22,1.2427469170000052,134480,134480,0.9908647638136721,0.9908641275916531,0.9908642936264987
23,1.1474680000000035,134480,134480,0.9939483878428123,0.9939482227590368,0.993948291594707
24,1.1484025419999995,134480,134480,0.9930425732842523,0.9930423086488194,0.9930424020982066
25,1.1955781249999973,134480,134480,0.9917127604216855,0.9917122898010691,0.9917124258116309
26,1.235089208000005,134480,134480,0.9681423092489448,0.968111301037815,0.968113466629816
27,1.1742086659999984,134480,134480,0.9929462100333417,0.9929459264278357,0.9929460238364138
28,1.2617281249999976,134480,134480,0.900688033611502,0.8997153781749595,0.8997368869938106
29,1.1922673340000003,134480,134480,0.9923294852275136,0.9923291301878283,0.9923292438407586
30,1.1422722500000049,134480,134480,0.8618921887948812,0.8592318825877256,0.8592740267909234
31,1.2376764159999993,134480,134480,0.9894000423998304,0.9893990461602533,0.9893992699675539
32,1.2049046249999975,134480,134480,0.9765066394279878,0.9764946470619131,0.9764958033224648
33,1.218495124999997,134480,134480,0.988879680844913,0.9888784583539172,0.988878712290466
34,1.1588285830000018,134480,134480,0.9669859502380173,0.9669520432252328,0.9669543485756809
35,1.2168060840000052,134480,134480,0.9028658430820822,0.9019148929281666,0.901935925883225
36,1.2362069999999932,134480,134480,0.8392082795305182,0.8348765255523108,0.834934770221461
37,1.1465668750000049,134480,134480,0.9873378688303429,0.9873360372681073,0.9873363689452429
38,1.1912109160000028,134480,134480,0.8153680112552277,0.8089151776735961,0.80899165068825
39,1.2434517909999983,134480,134480,0.9931967544857093,0.9931965535255038,0.993196634052111
40,1.2074703330000034,134480,134480,0.8375315589646732,0.8331685279393631,0.8332272840477961
41,1.2361252500000006,134480,134480,0.9079538227301637,0.9071808567156137,0.9071993034230359
42,1.2436209170000012,134480,134480,0.8358933836991925,0.8313832475465678,0.8314433047449235
43,1.2392482919999992,134480,134480,0.7913542891282981,0.7819073529077776,0.7820062050045383
44,1.1711656669999968,134480,134480,0.9236610326285968,0.923204640825492,0.9232175338939297
45,1.2000717920000028,134480,134480,0.823790159384817,0.8181880531751766,0.818257556688757
46,1.2576601669999974,134480,134480,0.9180334187754158,0.9174855420066264,0.9175001848814782
47,1.247025457999996,134480,134480,0.705610268468017,0.6777599702252451,0.6779662822549707
48,1.1891703329999928,134480,134480,0.9202497735463604,0.919744014226339,0.9197578891482042
49,1.419295667,134480,134480,0.7082120762426041,0.6811707868668875,0.6813730015250474
50,1.113554999999991,134480,134480,0.9318133636556363,0.9314993606524613,0.9315094609483221
