round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,2.824803333000002,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
2,1.8746254580000041,307520,153760,0.4836471563204656,0.3264112525056667,0.32570250237079607
3,1.7942188339999987,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
4,1.670128209000005,307520,153760,0.3238383410102723,0.2599720172071866,0.25949856089348533
5,1.6850065420000035,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
6,1.6662822500000019,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
7,1.7261837500000041,307520,153760,0.6472526837165379,0.6118712941121187,0.6121265026545226
8,1.6946912080000018,307520,153760,0.5171430223370016,0.3798896602609224,0.38052501440104763
9,1.6901660419999942,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
10,1.6549013749999943,307520,153760,0.5020332645942144,0.3359504908888051,0.336673730837501
11,1.683108666999999,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
12,1.6000306250000023,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
13,1.6206726249999974,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
14,1.6878341660000018,307520,153760,0.5336018655925376,0.40499425486387125,0.4055966948594082
15,1.714092334,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
16,1.6419682909999977,307520,153760,0.5281477055909958,0.3914477189435973,0.3920758540481498
17,1.6131145420000053,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
18,1.635884124999997,307520,153760,0.6130437296432633,0.5701016154949743,0.5703975151778059
19,1.5811878749999977,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
20,1.6181245419999968,307520,153760,0.5020910825447608,0.3360787896005292,0.3368018062159111
21,1.604523625000006,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
22,1.646977750000005,307520,153760,0.5160830265769846,0.36636184734895344,0.3670326305244656
23,1.6460022090000024,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
24,1.5921647079999985,307520,153760,0.5011081773854723,0.33385985382997885,0.33458676873292786
25,1.6233340830000031,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
26,1.6081607499999961,307520,153760,0.5399618401526394,0.4191323001067563,0.41970925924578795
27,1.6338117499999925,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
28,1.6760075420000078,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
29,1.6133710419999971,307520,153760,0.501512903039297,0.334760382448578,0.33548572831149087
30,1.5925995839999985,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
31,1.8208971660000088,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
32,1.6585745420000109,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
33,1.651158499999994,307520,153760,0.501532175689479,0.3348032332042057,0.33552850442493315
34,1.6837537090000012,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
35,1.6375818750000093,307520,153760,0.5014358124385684,0.3345889507553639,0.3353145952542555
36,1.654581915999998,307520,153760,0.645749417002332,0.6098265716150548,0.6100844019967089
37,1.5563000829999964,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
38,1.6910987920000053,307520,153760,0.6496810376394858,0.6152104176903914,0.6154612341781086
39,1.5855337499999962,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
40,1.0304898750000007,307520,153760,0.4154412473259198,0.414705221296943,0.4147504228954617
41,1.0246453329999952,307520,153760,0.48243297935899165,0.3278048761530472,0.3271027554561786
42,1.0524721250000084,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
43,0.9897066660000036,307520,153760,0.402682752905352,0.4020766470507422,0.40203518823623197
44,1.0237861250000009,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
45,1.0184585420000047,307520,153760,0.4768053655058107,0.3278823771084795,0.32857138372856215
46,1.0187391669999926,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
47,1.0392263749999984,307520,153760,0.4317266367298167,0.30412252306447507,0.3047714840818109
48,1.0248485000000045,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
49,0.990587167000001,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
50,1.0236021249999965,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
