round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,2.5585825,153760,153760,0.7738547227629271,0.762550964321875,0.7624381364176406
2,1.6766277500000015,153760,153760,0.9359569834447935,0.9359420587239271,0.9359399293129955
3,1.5908166670000004,153760,153760,0.9601441594233623,0.960116719050683,0.9601144407537596
4,1.5832566250000006,153760,153760,0.9645383236648871,0.9645115566737178,0.9645094340982777
5,1.6064880840000004,153760,153760,0.9669088596372887,0.9668804376368031,0.9668783246854512
6,1.642189916000003,153760,153760,0.966639042534739,0.966611583544579,0.9666094982852457
7,1.6882164579999994,153760,153760,0.9662150442307321,0.9661889302963196,0.9661868839200446
8,1.6672702080000015,153760,153760,0.9662150442307321,0.9661879054944484,0.9661858193194823
9,1.626491583,153760,153760,0.9711681153275387,0.9711530185348743,0.971151581350737
10,1.648548625,153760,153760,0.9710910247268102,0.9710757340710784,0.9710742857524718
11,1.532309625,153760,153760,0.9711102973769923,0.9710949912738485,0.9710935427062981
12,1.6501005829999968,153760,153760,0.9713030238788136,0.9712881241145164,0.9712866996869651
13,1.6278491669999973,153760,153760,0.9711873879777209,0.9711723774794581,0.9711709448896745
14,1.6285639580000009,153760,153760,0.9713801144795421,0.9713649513286624,0.9713635162900952
15,1.6285944999999984,153760,153760,0.9711873879777209,0.9711713455502167,0.9711698645091154
16,1.650506374999999,153760,153760,0.9713030238788136,0.9712874610570728,0.9712860052633171
17,1.5577113750000038,153760,153760,0.9713993871297242,0.9713835407484158,0.9713820742118984
18,1.6337496669999965,153760,153760,0.97136084182936,0.97134486989785,0.9713433965686576
19,1.6919097079999972,153760,153760,0.9723822922890126,0.9723681946183114,0.9723668353719042
20,1.5791607079999963,153760,153760,0.9726906546919267,0.9726766667844979,0.972675320418621
21,1.6256577919999984,153760,153760,0.971669204232274,0.9716532490315783,0.9716517844193293
22,1.625725083000006,153760,153760,0.9726328367413803,0.97261860336405,0.9726172437937726
23,1.5932409159999992,153760,153760,0.9726713820417445,0.972657408111155,0.9726560619439285
24,1.4137558749999997,153760,153760,0.9725942914410161,0.9725802302400877,0.9725788779714026
25,1.4667720419999952,153760,153760,0.973037562395205,0.9730228431922636,0.973021470857336
26,1.747873999999996,153760,153760,0.9730568350453871,0.9730421506386393,0.9730407804173655
27,1.6087654170000008,153760,153760,0.9732881068475726,0.9732732097432167,0.9732718355613456
28,1.6370466250000035,153760,153760,0.9735579239501224,0.9735436551710567,0.9735423171029782
29,1.5509612919999967,153760,153760,0.9731339256461156,0.9731192832548377,0.9731179169540826
30,1.6711930000000024,153760,153760,0.9733844700984833,0.9733695052496203,0.9733681304301719
31,1.803564584,153760,153760,0.9738855590032185,0.9738718620422249,0.9738705592168103
32,1.6369074999999995,153760,153760,0.9739241043035828,0.9739103814468453,0.9739090783520458
33,1.6786110829999998,153760,153760,0.9740397402046755,0.9740260322176246,0.9740247327188523
34,1.6780689580000043,153760,153760,0.9740011949043113,0.9739875126177341,0.9739862133753953
35,1.6005688749999933,153760,153760,0.9738277410526721,0.9738143127046688,0.9738130212975842
36,1.583661124999992,153760,153760,0.9740397402046755,0.9740262156955384,0.9740249249273522
37,1.6642981669999983,153760,153760,0.9739433769537649,0.9739300079357232,0.9739287222344137
38,1.6265975839999953,153760,153760,0.9740397402046755,0.9740263524914629,0.9740250682710954
39,1.6307407080000047,153760,153760,0.9739241043035828,0.9739108844112028,0.9739096054318888
40,1.6234407500000003,153760,153760,0.9740397402046755,0.9740264433018481,0.9740251634466355
41,1.6701078750000136,153760,153760,0.9746950103108678,0.9746837560547841,0.9746825935950608
42,1.6442477089999983,153760,153760,0.9746757376606857,0.9746644542244289,0.9746632898150253
43,1.6439875840000013,153760,153760,0.9749841000635997,0.9749725014342925,0.9749713280725094
44,1.6387998750000037,153760,153760,0.9741553761057683,0.9741421384319067,0.9741408642776083
45,1.699956291999996,153760,153760,0.9748877368126891,0.9748764042569739,0.9748752422072499
46,1.9042224169999997,153760,153760,0.975176826565421,0.9751653172938126,0.9751641529717967
47,1.7355584160000035,153760,153760,0.9751575539152388,0.9751460150655766,0.9751448487954408
48,1.7198249169999968,153760,153760,0.9751575539152388,0.9751460150655766,0.9751448487954408
49,1.6673487079999916,153760,153760,0.975022645363964,0.9750111060591435,0.9750099366049331
50,1.8122842500000047,153760,153760,0.9748299188621428,0.9748185808291217,0.9748174171617906
