cell,dataset,mode,downsample,arch,lr,seed,algo,grid_size,n_params,acc_last,acc_mean5,acc_mean10,acc_best,f1_macro,fpr,mcc,uplink_total_MB,rounds,osc10
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.001,29,fedavg,5,3362,0.709098618150982,0.7056064139379806,0.7040491838032648,0.709098618150982,0.6934336569682049,0.06281144976242903,0.470541948317455,6.724,50,0.0067454275637442995
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.001,11,fedavg,5,3362,0.9668317690365602,0.9657216643860697,0.96539788386301,0.9668317690365602,0.9668230738762167,0.014833700312898324,0.9342990018447607,6.724,50,0.0023898086225836446
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.03,11,fedavg,5,1346,0.8915142521248097,0.9153468113400274,0.9135775820533081,0.9905178561103938,0.8902292186253291,0.21497276625333184,0.8011616673344262,2.692,50,0.03251296085724742
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.01,2024,fedavg,5,3362,0.8471871567059186,0.8401295122092239,0.8336673926031569,0.8471871567059186,0.8434945854279201,0.30490207440027817,0.7284260406210264,6.724,50,0.03646385414458342
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.03,29,fedavg,5,1346,0.8024167903328386,0.7972709927342109,0.7883284830497042,0.865669628230578,0.8003973840662155,0.09502839262950513,0.6181937884489923,2.692,50,0.051245976834274454
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.03,42,fedavg,5,1346,0.998323279434155,0.9981344074623703,0.9982481160984447,0.9986123691868869,0.9983232758368962,0.0009657356974542841,0.9966475669626044,2.692,50,0.0006552701061922628
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.0003,37,fedavg,5,1346,0.9723244743384662,0.9722358201476287,0.9721163297164992,0.9723244743384662,0.9723086337677871,0.0015838065438250615,0.9459438699650099,2.692,50,0.0004239983040067452
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.001,2026,fedavg,5,3362,0.5303255150615761,0.5314240561219573,0.5351995682926359,0.5477287181760364,0.4075168606284137,0.012245528643720749,0.15331803116146517,6.724,50,0.012295950816196832
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.01,31,fedavg,5,6560,0.9721702931370093,0.97284869042342,0.9719332395397691,0.9736157419006688,0.9721570642559367,0.0038629427898172475,0.9454334301174593,14.44,50,0.008711237882321199
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.1,2024,fedavg,5,3280,0.9638830535586949,0.8972806290593021,0.8928980284078865,0.964210688611791,0.9638623146706855,0.010005021825626792,0.9290435962784548,7.688,50,0.12091660724266196
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.001,42,fedavg,5,3362,0.9744059205581359,0.9744290477383544,0.9744059205581358,0.9744637385086823,0.9743927888599412,0.0007725885579634717,0.9499883587818627,6.724,50,0.00011563590109275879
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.03,17,fedavg,5,1346,0.9989014589396188,0.9989284406498738,0.9988108774837627,0.9990170948407116,0.9989014526656115,0.0013134005485379019,0.9978029951207873,2.692,50,0.0009058145585599808
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.1,23,fedavg,5,3362,0.9737891957523079,0.9737814866922351,0.9735290149748492,0.9744059205581359,0.973775051773059,0.0008112179858615898,0.9488088710574621,6.724,50,0.0025054445236765144
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.003,23,fedavg,5,3280,0.9646732322161621,0.9644843602443773,0.9644612330641585,0.9648659587179833,0.9646372987327587,0.0012747711206396728,0.9315191144324337,7.688,50,0.0008672692581956909
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.001,17,fedavg,5,3362,0.9746179197101393,0.9746063561200302,0.9746121379150846,0.9748684641625069,0.9746058756474842,0.0014292888322323671,0.9503320675119312,6.724,50,0.00040472565382465575
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.001,43,fedavg,5,3362,0.9697997571646078,0.9694875402316573,0.9692080868040165,0.9697997571646078,0.9697909886926186,0.011009386950979305,0.9402987643861763,6.724,50,0.0010985410603813195
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.0003,31,fedavg,5,1346,0.8130167479330083,0.7687975793551372,0.7636305818413089,0.8130167479330083,0.8088962661651137,0.332367597635879,0.6537936335480539,2.692,50,0.06942008595601978
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.01,37,fedavg,5,6560,0.9260122959508162,0.95448570932989,0.9693661225355099,0.9976872819781448,0.9256014096759658,0.14644416116197323,0.8609911742065384,14.44,50,0.07788077938597338
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp32,0.03,43,fedavg,5,1346,0.9110952647098502,0.905718195309037,0.9097847244974657,0.9213675872569237,0.9103854100192399,0.17611156178776988,0.8348146865553054,2.692,50,0.03424749937363891
lrsweep_botiot,nf_botiot_v2,binary,130000,mlp80,0.0003,23,fedavg,5,3362,0.9227937633704011,0.922720527299709,0.9225509279781061,0.922947944571858,0.9227323349542274,0.10344960791130686,0.8467166950647789,6.724,50,0.0007516333571029321
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.03,11,fedavg,5,6560,0.9741939214061326,0.9749648274134175,0.9520592826719604,0.9944302040973654,0.9741835497984267,0.003592536794530088,0.9493304216924885,14.44,50,0.09936978433904442
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.1,37,fedavg,5,3280,0.9695684853624222,0.9615549174166939,0.9453716730587625,0.9736928325013973,0.9695586638490394,0.01031405724881218,0.9399046849808091,7.688,50,0.15023030816967642
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.0003,23,fedavg,5,6560,0.9379806117139168,0.9375797405901285,0.9342629174937847,0.9379806117139168,0.9379806115065912,0.06003013095376053,0.8759696543038007,14.44,50,0.007342879719390183
lrsweep_botiot,nf_botiot_v2,binary,130000,kan16,0.03,29,fedavg,5,6560,0.8902037119124251,0.9046235087786922,0.90545608726656,0.9571761712953148,0.8888202551353055,0.21964692702901067,0.7996873072231993,14.44,50,0.06949717655674836
lrsweep_botiot,nf_botiot_v2,binary,130000,kan8,0.001,2026,fedavg,5,3280,0.5770424191030509,0.5603985584057665,0.5395378418486325,0.5770424191030509,0.49033991673785093,0.008343956426005383,0.2773406486799204,7.688,50,0.07071135351822233
