round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,7.886448958000001,228760,228760,0.5,0.3333333333333333,0.3333333333333333
2,5.953309000000001,228760,228760,0.5,0.3333333333333333,0.3333333333333333
3,7.234529708000004,228760,228760,0.5003076923076923,0.33401672958050876,0.33401672958050876
4,8.591419000000002,228760,228760,0.5537115384615384,0.44764272948940553,0.44764272948940553
5,7.369178750000003,228760,228760,0.633576923076923,0.5985894992923954,0.5985894992923954
6,7.803523292000001,228760,228760,0.6880384615384615,0.6782986308872025,0.6782986308872024
7,7.704518415999999,228760,228760,0.7119423076923077,0.7059799169434826,0.7059799169434826
8,7.627620415999999,228760,228760,0.7200384615384615,0.715748775856109,0.7157487758561087
9,8.433567833000012,228760,228760,0.724326923076923,0.7156788103046947,0.7156788103046948
10,9.817076582999988,228760,228760,0.7367884615384616,0.7323274803262809,0.732327480326281
11,9.996508167000002,228760,228760,0.8344807692307692,0.8342694106934305,0.8342694106934306
12,11.601895624999997,228760,228760,0.8749423076923077,0.8748405096559322,0.8748405096559322
13,16.934752417,228760,228760,0.8825961538461539,0.8824588894328661,0.882458889432866
14,10.443588000000005,228760,228760,0.871423076923077,0.871215831762377,0.871215831762377
1,7.342657416,228760,228760,0.5,0.3333333333333333,0.3333333333333333
2,6.849633875000002,228760,228760,0.5,0.3333333333333333,0.3333333333333333
3,6.264063125,228760,228760,0.5003076923076923,0.33401672958050876,0.33401672958050876
4,7.656942959000002,228760,228760,0.5537115384615384,0.44764272948940553,0.44764272948940553
5,7.381023790999997,228760,228760,0.633576923076923,0.5985894992923954,0.5985894992923954
6,7.1916363749999945,228760,228760,0.6880384615384615,0.6782986308872025,0.6782986308872024
7,7.416138332999999,228760,228760,0.7119423076923077,0.7059799169434826,0.7059799169434826
8,7.043812750000001,228760,228760,0.7200384615384615,0.715748775856109,0.7157487758561087
9,7.247970374999994,228760,228760,0.724326923076923,0.7156788103046947,0.7156788103046948
10,7.146222707999996,228760,228760,0.7367884615384616,0.7323274803262809,0.732327480326281
11,7.136397124999988,228760,228760,0.8344807692307692,0.8342694106934305,0.8342694106934306
12,6.935295750000009,228760,228760,0.8749423076923077,0.8748405096559322,0.8748405096559322
13,7.0792780830000055,228760,228760,0.8825961538461539,0.8824588894328661,0.882458889432866
14,8.044182792,228760,228760,0.871423076923077,0.871215831762377,0.871215831762377
15,7.561264584,228760,228760,0.8983846153846153,0.898382035701353,0.898382035701353
16,7.6373529589999976,228760,228760,0.8930961538461538,0.8930934191489309,0.8930934191489309
17,7.496694375000004,228760,228760,0.8977307692307692,0.8977297017467094,0.8977297017467093
18,7.311365625000008,228760,228760,0.8831153846153846,0.8830370178601514,0.8830370178601515
19,6.944064249999997,228760,228760,0.9069230769230769,0.9069047298559689,0.9069047298559689
20,7.415106707999996,228760,228760,0.8211153846153846,0.818101025579679,0.8181010255796791
21,7.194601709000011,228760,228760,0.8988076923076923,0.8988072558017128,0.8988072558017128
22,7.733747082999997,228760,228760,0.8055192307692308,0.8013864679816471,0.8013864679816471
23,7.835970790999994,228760,228760,0.9105769230769231,0.9105437076644489,0.910543707664449
24,7.6584626249999985,228760,228760,0.8489423076923077,0.8479085827708691,0.8479085827708691
25,7.334802999999994,228760,228760,0.90925,0.9091972777029471,0.9091972777029472
26,8.111746332999985,228760,228760,0.8293846153846154,0.8270055836311752,0.8270055836311752
27,7.761633415999995,228760,228760,0.9162884615384616,0.9162581695107322,0.9162581695107322
28,7.166042666999999,228760,228760,0.8888846153846154,0.8885793093415071,0.8885793093415071
29,7.623139000000009,228760,228760,0.9178653846153846,0.9178256817470757,0.9178256817470757
30,7.289614124999986,228760,228760,0.6869615384615385,0.6578834539715551,0.6578834539715552
31,7.3736964579999835,228760,228760,0.803826923076923,0.7971370794610483,0.7971370794610483
32,7.529786666999996,228760,228760,0.5201923076923077,0.38208070547602957,0.38208070547602957
33,6.983115542000007,228760,228760,0.9029615384615385,0.9027452940615635,0.9027452940615635
34,6.845629916000007,228760,228760,0.8091538461538461,0.8036005099554502,0.8036005099554501
35,6.840655667000021,228760,228760,0.9237884615384615,0.923774766677376,0.923774766677376
36,7.04303754099999,228760,228760,0.7499038461538462,0.7359816136668145,0.7359816136668142
37,6.949923667000007,228760,228760,0.9254230769230769,0.9253543365487318,0.9253543365487318
38,6.983487875000037,228760,228760,0.8053653846153846,0.7998487384903816,0.7998487384903816
39,6.852013750000026,228760,228760,0.9283846153846154,0.928376834205741,0.928376834205741
40,6.878897332999998,228760,228760,0.793,0.7857587733077589,0.785758773307759
41,6.865785666000022,228760,228760,0.9197692307692308,0.919769144248086,0.9197691442480861
42,6.991529832999959,228760,228760,0.8789230769230769,0.878215370587943,0.8782153705879431
43,7.122830082999997,228760,228760,0.9195,0.9194980182936723,0.9194980182936723
44,6.957708166999964,228760,228760,0.8275576923076923,0.8243351883160563,0.8243351883160562
45,7.032910708000031,228760,228760,0.9348653846153846,0.9348262026056253,0.9348262026056254
46,7.144852000000014,228760,228760,0.8839423076923076,0.8834589121116572,0.8834589121116571
47,7.168619125000021,228760,228760,0.9259038461538461,0.9258891202069182,0.9258891202069183
48,7.153602041999989,228760,228760,0.8800769230769231,0.8794117682014952,0.8794117682014952
49,7.0451482080000005,228760,228760,0.9336923076923077,0.933624502470489,0.933624502470489
50,6.875319375000004,228760,228760,0.8736346153846154,0.8726815633865341,0.8726815633865341
