[run] device=cpu  seed=43  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_cseciic/lrext_kan8_lr0p3__dir0.1__seed43
[run] model=kan  params=3,280
  round   1/50: acc=0.4477  f1m=0.4111  uplink_kB=150.2  t=2.74s
  round   2/50: acc=0.7193  f1m=0.7005  uplink_kB=150.2  t=2.07s
  round   3/50: acc=0.4973  f1m=0.3321  uplink_kB=150.2  t=2.12s
  round   4/50: acc=0.4973  f1m=0.3321  uplink_kB=150.2  t=2.12s
  round   5/50: acc=0.4973  f1m=0.3321  uplink_kB=150.2  t=2.07s
  round   6/50: acc=0.4973  f1m=0.3321  uplink_kB=150.2  t=1.98s
  round   7/50: acc=0.4973  f1m=0.3321  uplink_kB=150.2  t=2.04s
  round   8/50: acc=0.4973  f1m=0.3321  uplink_kB=150.2  t=2.05s
  round   9/50: acc=0.4973  f1m=0.3321  uplink_kB=150.2  t=2.05s
  round  10/50: acc=0.4973  f1m=0.3321  uplink_kB=150.2  t=2.10s
  round  11/50: acc=0.4973  f1m=0.3321  uplink_kB=150.2  t=2.07s
  round  12/50: acc=0.4973  f1m=0.3321  uplink_kB=150.2  t=2.04s
  round  13/50: acc=0.4972  f1m=0.3321  uplink_kB=150.2  t=2.02s
  round  14/50: acc=0.4972  f1m=0.3321  uplink_kB=150.2  t=2.15s
  round  15/50: acc=0.4972  f1m=0.3321  uplink_kB=150.2  t=2.05s
  round  16/50: acc=0.4972  f1m=0.3321  uplink_kB=150.2  t=2.08s
  round  17/50: acc=0.4972  f1m=0.3321  uplink_kB=150.2  t=2.16s
  round  18/50: acc=0.4972  f1m=0.3321  uplink_kB=150.2  t=2.05s
  round  19/50: acc=0.4972  f1m=0.3321  uplink_kB=150.2  t=2.07s
  round  20/50: acc=0.4972  f1m=0.3321  uplink_kB=150.2  t=2.11s
  round  21/50: acc=0.4971  f1m=0.3321  uplink_kB=150.2  t=2.07s
  round  22/50: acc=0.4971  f1m=0.3321  uplink_kB=150.2  t=1.98s
  round  23/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=2.17s
  round  24/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=2.03s
  round  25/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=2.10s
  round  26/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=2.06s
  round  27/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=2.08s
  round  28/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=1.98s
  round  29/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=2.01s
  round  30/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=1.97s
  round  31/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=2.08s
  round  32/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=2.03s
  round  33/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=2.13s
  round  34/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=2.12s
  round  35/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=2.02s
  round  36/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=2.13s
  round  37/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=2.03s
  round  38/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=2.03s
  round  39/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=2.10s
  round  40/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=2.06s
  round  41/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=2.09s
  round  42/50: acc=0.4971  f1m=0.3320  uplink_kB=150.2  t=2.04s
  round  43/50: acc=0.4970  f1m=0.3320  uplink_kB=150.2  t=2.00s
  round  44/50: acc=0.4970  f1m=0.3320  uplink_kB=150.2  t=2.10s
  round  45/50: acc=0.4970  f1m=0.3320  uplink_kB=150.2  t=2.08s
  round  46/50: acc=0.4970  f1m=0.3320  uplink_kB=150.2  t=2.09s
  round  47/50: acc=0.4970  f1m=0.3320  uplink_kB=150.2  t=2.07s
  round  48/50: acc=0.4970  f1m=0.3320  uplink_kB=150.2  t=2.06s
  round  49/50: acc=0.4970  f1m=0.3320  uplink_kB=150.2  t=2.02s
  round  50/50: acc=0.4970  f1m=0.3320  uplink_kB=150.2  t=2.07s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_cseciic/lrext_kan8_lr0p3__dir0.1__seed43/metrics.json  final_acc=0.4970
