round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,2.8044315830000004,153760,153760,0.24003846153846153,0.22722467607318136,0.22722467607318134
2,2.1456841250000007,153760,153760,0.24359615384615385,0.23235346818103986,0.23235346818103986
3,2.0437931250000005,153760,153760,0.24382692307692308,0.23311043294117456,0.23311043294117456
4,2.0842939589999983,153760,153760,0.2549230769230769,0.24659856052596513,0.24659856052596513
5,2.1584452499999998,153760,153760,0.2611346153846154,0.25411940732061666,0.25411940732061666
6,2.2361900420000005,153760,153760,0.26725,0.26139189782725547,0.26139189782725547
7,2.1076936669999995,153760,153760,0.27278846153846154,0.2678353217296704,0.2678353217296704
8,2.040832917000003,153760,153760,0.2770384615384615,0.2727955073206986,0.2727955073206986
9,2.019365417000003,153760,153760,0.28063461538461537,0.2769521194262846,0.2769521194262846
10,2.093321917000001,153760,153760,0.28534615384615386,0.28237131116622727,0.2823713111662273
11,2.057646334000001,153760,153760,0.28784615384615386,0.2852365896419178,0.2852365896419178
12,2.0712896659999984,153760,153760,0.28925,0.2869001924063921,0.2869001924063921
13,1.9848876659999988,153760,153760,0.2898269230769231,0.28762196314787203,0.28762196314787203
14,2.0836664170000034,153760,153760,0.29007692307692307,0.2880096221514326,0.2880096221514326
15,2.1665439169999985,153760,153760,0.29042307692307695,0.2884590175066133,0.2884590175066133
16,2.1695472080000044,153760,153760,0.2909038461538462,0.2890728087398061,0.2890728087398061
17,2.1649334170000003,153760,153760,0.2915,0.2897894263150591,0.28978942631505905
18,2.0404780420000037,153760,153760,0.29159615384615384,0.28997202551148704,0.289972025511487
19,2.0258338750000036,153760,153760,0.29196153846153844,0.2904247201668584,0.2904247201668584
20,1.9482751669999985,153760,153760,0.29159615384615384,0.2901153131242943,0.2901153131242943
21,2.339599583000002,153760,153760,0.29136538461538464,0.28993854948034503,0.28993854948034503
22,1.9631216249999994,153760,153760,0.29115384615384615,0.2897956654624916,0.2897956654624915
23,2.016963374999996,153760,153760,0.2907692307692308,0.28945307818911,0.28945307818911
24,1.9278363749999983,153760,153760,0.2903269230769231,0.28905784689975456,0.28905784689975456
25,1.9630862500000035,153760,153760,0.28996153846153844,0.28871830117514974,0.28871830117514974
26,2.031539582999997,153760,153760,0.2895,0.2882878478692299,0.2882878478692299
27,1.944755083000004,153760,153760,0.28875,0.2875847877479872,0.2875847877479872
28,1.9072169169999995,153760,153760,0.2883269230769231,0.28719409708655286,0.2871940970865528
29,1.9922106249999985,153760,153760,0.2881346153846154,0.28704700321502546,0.28704700321502546
30,1.9492732500000045,153760,153760,0.2878269230769231,0.28676867955743435,0.2867686795574344
31,2.075128042000003,153760,153760,0.2873269230769231,0.28630155140727465,0.2863015514072746
32,1.9679157909999958,153760,153760,0.2865,0.28552391469115307,0.28552391469115307
33,1.9288102920000085,153760,153760,0.286,0.28505152036823955,0.28505152036823955
34,2.0661728750000066,153760,153760,0.28551923076923075,0.2846029402143143,0.28460294021431426
35,1.8545423329999977,153760,153760,0.2851153846153846,0.28422501877487066,0.28422501877487066
36,1.9861072089999965,153760,153760,0.28473076923076923,0.28386886515408993,0.28386886515409
37,1.9436183330000034,153760,153760,0.2842692307692308,0.2834352501010159,0.28343525010101583
38,1.906513082999993,153760,153760,0.28336538461538463,0.2825777247360125,0.2825777247360125
39,1.9524050410000058,153760,153760,0.2820576923076923,0.2813314732431482,0.2813314732431482
40,1.9308015829999903,153760,153760,0.28115384615384614,0.28047434038369123,0.28047434038369123
41,2.033441625000009,153760,153760,0.28071153846153846,0.28005609103651113,0.28005609103651113
42,1.9631997909999939,153760,153760,0.2800576923076923,0.27943306923683486,0.27943306923683486
43,1.8543397079999977,153760,153760,0.2795,0.2788983697624917,0.2788983697624917
44,1.9266212920000072,153760,153760,0.27915384615384614,0.2785694447158675,0.27856944471586753
45,1.936485625000003,153760,153760,0.2788846153846154,0.2783172606557991,0.2783172606557991
46,2.0099635420000084,153760,153760,0.2780961538461538,0.2775612111671706,0.2775612111671706
47,2.0848581660000036,153760,153760,0.2770384615384615,0.27654505563460774,0.27654505563460774
48,2.068690833000005,153760,153760,0.27598076923076925,0.27553560917192566,0.27553560917192566
49,1.9230317079999963,153760,153760,0.27490384615384617,0.2745090736468871,0.2745090736468871
50,1.945915124999999,153760,153760,0.2744615384615385,0.27410279490848255,0.27410279490848255
