round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,1.5632289169999996,134480,134480,0.5,0.33340169713087964,0.3334016971308796
2,0.7833570420000004,134480,134480,0.5,0.3333333333333333,0.3333333333333333
3,0.8275932499999996,134480,134480,0.5,0.3333333333333333,0.3333333333333333
4,0.7706055410000001,134480,134480,0.5,0.3333333333333333,0.3333333333333333
5,0.8168959169999992,134480,134480,0.5,0.3333333333333333,0.3333333333333333
6,0.8317672920000003,134480,134480,0.5,0.3333333333333333,0.3333333333333333
7,0.8312292499999998,134480,134480,0.5,0.3333333333333333,0.3333333333333333
8,0.8549826669999998,134480,134480,0.5,0.3333333333333333,0.3333333333333333
9,0.8356027909999995,134480,134480,0.5,0.3333333333333333,0.3333333333333333
10,0.8389648340000004,134480,134480,0.5,0.3333333333333333,0.3333333333333333
11,0.7529318750000016,134480,134480,0.5,0.3333333333333333,0.3333333333333333
12,0.8397421670000007,134480,134480,0.5,0.3333333333333333,0.3333333333333333
13,0.8449655830000005,134480,134480,0.5,0.3333333333333333,0.3333333333333333
14,0.8231989590000008,134480,134480,0.5,0.3333333333333333,0.3333333333333333
15,0.8324496659999987,134480,134480,0.5,0.3333333333333333,0.3333333333333333
16,0.8131616249999993,134480,134480,0.5,0.3333333333333333,0.3333333333333333
17,0.7716422499999993,134480,134480,0.5,0.3333333333333333,0.3333333333333333
18,0.8272944579999972,134480,134480,0.5,0.3333333333333333,0.3333333333333333
19,0.8183897920000014,134480,134480,0.5,0.3333333333333333,0.3333333333333333
20,0.8323693330000026,134480,134480,0.5,0.3333333333333333,0.3333333333333333
21,0.8507303329999978,134480,134480,0.5,0.3333333333333333,0.3333333333333333
22,0.8247258749999986,134480,134480,0.5,0.3333333333333333,0.3333333333333333
23,0.8869439579999998,134480,134480,0.5,0.3333333333333333,0.3333333333333333
24,0.7955909159999983,134480,134480,0.5,0.3333333333333333,0.3333333333333333
25,0.8468117910000004,134480,134480,0.5,0.3333333333333333,0.3333333333333333
26,0.8468551659999974,134480,134480,0.5,0.3333333333333333,0.3333333333333333
27,0.8284149589999998,134480,134480,0.5,0.3333333333333333,0.3333333333333333
28,0.8245382909999996,134480,134480,0.5,0.3333333333333333,0.3333333333333333
29,0.8174531250000001,134480,134480,0.5,0.3333333333333333,0.3333333333333333
30,0.8286492500000016,134480,134480,0.5,0.3333333333333333,0.3333333333333333
31,0.7574085410000002,134480,134480,0.5,0.3333333333333333,0.3333333333333333
32,0.8083340409999984,134480,134480,0.5,0.3333333333333333,0.3333333333333333
33,0.8336535000000005,134480,134480,0.5,0.3333333333333333,0.3333333333333333
34,0.8128704170000027,134480,134480,0.5,0.3333333333333333,0.3333333333333333
35,0.8870179589999978,134480,134480,0.5,0.3333333333333333,0.3333333333333333
36,0.8531233750000027,134480,134480,0.5,0.3333333333333333,0.3333333333333333
37,0.8626795420000022,134480,134480,0.5,0.3333333333333333,0.3333333333333333
38,0.7541764999999998,134480,134480,0.5,0.3333333333333333,0.3333333333333333
39,0.8967707920000052,134480,134480,0.5,0.3333333333333333,0.3333333333333333
40,0.8876401670000007,134480,134480,0.5,0.3333333333333333,0.3333333333333333
41,0.8397169580000039,134480,134480,0.5,0.3333333333333333,0.3333333333333333
42,0.879703959000004,134480,134480,0.5,0.3333333333333333,0.3333333333333333
43,0.8919803749999957,134480,134480,0.5,0.3333333333333333,0.3333333333333333
44,0.8959788330000009,134480,134480,0.5,0.3333333333333333,0.3333333333333333
45,0.8790847089999971,134480,134480,0.5,0.3333333333333333,0.3333333333333333
46,0.8334328749999997,134480,134480,0.5,0.3333333333333333,0.3333333333333333
47,0.9045870409999992,134480,134480,0.5,0.3333333333333333,0.3333333333333333
48,1.092696999999994,134480,134480,0.5,0.3333333333333333,0.3333333333333333
49,1.0694213749999975,134480,134480,0.5,0.3333333333333333,0.3333333333333333
50,0.9851105000000047,134480,134480,0.5,0.3333333333333333,0.3333333333333333
