[run] device=cpu  seed=2026  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_cseciic_mc50k/lrext_kan8_lr0p3__dir0.1__seed2026
[run] model=kan  params=4,320
  round   1/50: acc=0.0049  f1m=0.0027  uplink_kB=190.8  t=4.21s
  round   2/50: acc=0.0344  f1m=0.0044  uplink_kB=190.8  t=3.32s
  round   3/50: acc=0.0344  f1m=0.0044  uplink_kB=190.8  t=3.18s
  round   4/50: acc=0.0344  f1m=0.0044  uplink_kB=190.8  t=3.44s
  round   5/50: acc=0.0344  f1m=0.0044  uplink_kB=190.8  t=3.56s
  round   6/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.35s
  round   7/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.41s
  round   8/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.38s
  round   9/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.36s
  round  10/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.44s
  round  11/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.57s
  round  12/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.69s
  round  13/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.71s
  round  14/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.63s
  round  15/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.40s
  round  16/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.44s
  round  17/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.70s
  round  18/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.45s
  round  19/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.51s
  round  20/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.37s
  round  21/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.51s
  round  22/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.38s
  round  23/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.46s
  round  24/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.37s
  round  25/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.43s
  round  26/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.34s
  round  27/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.45s
  round  28/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.38s
  round  29/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.41s
  round  30/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.42s
  round  31/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.43s
  round  32/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.39s
  round  33/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.45s
  round  34/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.44s
  round  35/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.35s
  round  36/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.32s
  round  37/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.41s
  round  38/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.43s
  round  39/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.29s
  round  40/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.31s
  round  41/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.41s
  round  42/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.41s
  round  43/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.32s
  round  44/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.45s
  round  45/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.31s
  round  46/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.42s
  round  47/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.40s
  round  48/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.56s
  round  49/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.41s
  round  50/50: acc=0.1217  f1m=0.0145  uplink_kB=190.8  t=3.42s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_cseciic_mc50k/lrext_kan8_lr0p3__dir0.1__seed2026/metrics.json  final_acc=0.1217
