[run] device=cpu  seed=11  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_cseciic_mc50k/lrext_kan8_lr1__dir0.1__seed11
[run] model=kan  params=4,320
  round   1/50: acc=0.0364  f1m=0.0064  uplink_kB=190.8  t=4.28s
  round   2/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.31s
  round   3/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.32s
  round   4/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.38s
  round   5/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.56s
  round   6/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.35s
  round   7/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.42s
  round   8/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.44s
  round   9/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.36s
  round  10/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.53s
  round  11/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.50s
  round  12/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.68s
  round  13/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.57s
  round  14/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.76s
  round  15/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.37s
  round  16/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.53s
  round  17/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.67s
  round  18/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.46s
  round  19/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.42s
  round  20/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.50s
  round  21/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.35s
  round  22/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.34s
  round  23/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.33s
  round  24/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.41s
  round  25/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.35s
  round  26/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.45s
  round  27/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.38s
  round  28/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.42s
  round  29/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.40s
  round  30/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.44s
  round  31/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.36s
  round  32/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.43s
  round  33/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.37s
  round  34/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.47s
  round  35/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.33s
  round  36/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.41s
  round  37/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.38s
  round  38/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.37s
  round  39/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.33s
  round  40/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.45s
  round  41/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.32s
  round  42/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.40s
  round  43/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.33s
  round  44/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.36s
  round  45/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.36s
  round  46/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.51s
  round  47/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.53s
  round  48/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.47s
  round  49/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.37s
  round  50/50: acc=0.0631  f1m=0.0079  uplink_kB=190.8  t=3.43s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_cseciic_mc50k/lrext_kan8_lr1__dir0.1__seed11/metrics.json  final_acc=0.0631
