[run] device=cpu  seed=42  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_cseciic_mc50k/lrext_mlp80_lr0p3__dir0.1__seed42
[run] model=mlp  params=4,415
  round   1/50: acc=0.1217  f1m=0.0145  uplink_kB=172.5  t=2.30s
  round   2/50: acc=0.1916  f1m=0.0533  uplink_kB=172.5  t=1.41s
  round   3/50: acc=0.1937  f1m=0.0539  uplink_kB=172.5  t=1.50s
  round   4/50: acc=0.1937  f1m=0.0539  uplink_kB=172.5  t=1.41s
  round   5/50: acc=0.1937  f1m=0.0539  uplink_kB=172.5  t=1.46s
  round   6/50: acc=0.1943  f1m=0.0517  uplink_kB=172.5  t=1.44s
  round   7/50: acc=0.1934  f1m=0.0538  uplink_kB=172.5  t=1.45s
  round   8/50: acc=0.1934  f1m=0.0538  uplink_kB=172.5  t=1.37s
  round   9/50: acc=0.1842  f1m=0.0490  uplink_kB=172.5  t=1.42s
  round  10/50: acc=0.1935  f1m=0.0538  uplink_kB=172.5  t=1.43s
  round  11/50: acc=0.1935  f1m=0.0538  uplink_kB=172.5  t=1.47s
  round  12/50: acc=0.1934  f1m=0.0538  uplink_kB=172.5  t=1.42s
  round  13/50: acc=0.1952  f1m=0.0518  uplink_kB=172.5  t=1.43s
  round  14/50: acc=0.1935  f1m=0.0538  uplink_kB=172.5  t=1.40s
  round  15/50: acc=0.1941  f1m=0.0526  uplink_kB=172.5  t=1.47s
  round  16/50: acc=0.1943  f1m=0.0529  uplink_kB=172.5  t=1.39s
  round  17/50: acc=0.1840  f1m=0.0493  uplink_kB=172.5  t=1.44s
  round  18/50: acc=0.1935  f1m=0.0538  uplink_kB=172.5  t=1.41s
  round  19/50: acc=0.1947  f1m=0.0519  uplink_kB=172.5  t=1.45s
  round  20/50: acc=0.1936  f1m=0.0538  uplink_kB=172.5  t=1.40s
  round  21/50: acc=0.1936  f1m=0.0538  uplink_kB=172.5  t=1.47s
  round  22/50: acc=0.1935  f1m=0.0538  uplink_kB=172.5  t=1.40s
  round  23/50: acc=0.1937  f1m=0.0538  uplink_kB=172.5  t=1.41s
  round  24/50: acc=0.1935  f1m=0.0538  uplink_kB=172.5  t=1.39s
  round  25/50: acc=0.1937  f1m=0.0530  uplink_kB=172.5  t=1.48s
  round  26/50: acc=0.1934  f1m=0.0538  uplink_kB=172.5  t=1.39s
  round  27/50: acc=0.1935  f1m=0.0538  uplink_kB=172.5  t=1.45s
  round  28/50: acc=0.1938  f1m=0.0534  uplink_kB=172.5  t=1.39s
  round  29/50: acc=0.1934  f1m=0.0538  uplink_kB=172.5  t=1.47s
  round  30/50: acc=0.1935  f1m=0.0538  uplink_kB=172.5  t=1.33s
  round  31/50: acc=0.1841  f1m=0.0492  uplink_kB=172.5  t=1.43s
  round  32/50: acc=0.1939  f1m=0.0528  uplink_kB=172.5  t=1.38s
  round  33/50: acc=0.1934  f1m=0.0538  uplink_kB=172.5  t=1.46s
  round  34/50: acc=0.1939  f1m=0.0535  uplink_kB=172.5  t=1.41s
  round  35/50: acc=0.1878  f1m=0.0620  uplink_kB=172.5  t=1.47s
  round  36/50: acc=0.1938  f1m=0.0538  uplink_kB=172.5  t=1.35s
  round  37/50: acc=0.1847  f1m=0.0492  uplink_kB=172.5  t=1.45s
  round  38/50: acc=0.1932  f1m=0.0538  uplink_kB=172.5  t=1.44s
  round  39/50: acc=0.1938  f1m=0.0538  uplink_kB=172.5  t=1.39s
  round  40/50: acc=0.1935  f1m=0.0538  uplink_kB=172.5  t=1.49s
  round  41/50: acc=0.1939  f1m=0.0538  uplink_kB=172.5  t=1.37s
  round  42/50: acc=0.1839  f1m=0.0490  uplink_kB=172.5  t=1.46s
  round  43/50: acc=0.1936  f1m=0.0538  uplink_kB=172.5  t=1.40s
  round  44/50: acc=0.1936  f1m=0.0538  uplink_kB=172.5  t=1.44s
  round  45/50: acc=0.1937  f1m=0.0538  uplink_kB=172.5  t=1.42s
  round  46/50: acc=0.1938  f1m=0.0538  uplink_kB=172.5  t=1.46s
  round  47/50: acc=0.1936  f1m=0.0538  uplink_kB=172.5  t=1.42s
  round  48/50: acc=0.1936  f1m=0.0538  uplink_kB=172.5  t=1.43s
  round  49/50: acc=0.1942  f1m=0.0536  uplink_kB=172.5  t=1.34s
  round  50/50: acc=0.1839  f1m=0.0504  uplink_kB=172.5  t=1.33s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_cseciic_mc50k/lrext_mlp80_lr0p3__dir0.1__seed42/metrics.json  final_acc=0.1839
