[run] device=cpu  seed=31  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_toniot/lrext_kan8_lr0p3__dir0.1__seed31
[run] model=kan  params=3,280
  round   1/50: acc=0.5904  f1m=0.5106  uplink_kB=150.2  t=2.68s
  round   2/50: acc=0.4893  f1m=0.3340  uplink_kB=150.2  t=1.92s
  round   3/50: acc=0.4893  f1m=0.3340  uplink_kB=150.2  t=2.00s
  round   4/50: acc=0.4893  f1m=0.3340  uplink_kB=150.2  t=1.99s
  round   5/50: acc=0.4893  f1m=0.3339  uplink_kB=150.2  t=1.97s
  round   6/50: acc=0.4893  f1m=0.3339  uplink_kB=150.2  t=1.85s
  round   7/50: acc=0.4893  f1m=0.3339  uplink_kB=150.2  t=1.97s
  round   8/50: acc=0.4893  f1m=0.3339  uplink_kB=150.2  t=1.96s
  round   9/50: acc=0.4893  f1m=0.3339  uplink_kB=150.2  t=1.97s
  round  10/50: acc=0.4893  f1m=0.3339  uplink_kB=150.2  t=2.01s
  round  11/50: acc=0.4892  f1m=0.3339  uplink_kB=150.2  t=1.98s
  round  12/50: acc=0.4893  f1m=0.3339  uplink_kB=150.2  t=2.04s
  round  13/50: acc=0.4893  f1m=0.3339  uplink_kB=150.2  t=1.97s
  round  14/50: acc=0.4893  f1m=0.3339  uplink_kB=150.2  t=1.87s
  round  15/50: acc=0.4893  f1m=0.3339  uplink_kB=150.2  t=2.05s
  round  16/50: acc=0.4893  f1m=0.3339  uplink_kB=150.2  t=1.98s
  round  17/50: acc=0.4893  f1m=0.3339  uplink_kB=150.2  t=1.90s
  round  18/50: acc=0.4893  f1m=0.3339  uplink_kB=150.2  t=2.02s
  round  19/50: acc=0.4893  f1m=0.3339  uplink_kB=150.2  t=1.93s
  round  20/50: acc=0.4894  f1m=0.3339  uplink_kB=150.2  t=1.97s
  round  21/50: acc=0.4894  f1m=0.3339  uplink_kB=150.2  t=1.89s
  round  22/50: acc=0.4894  f1m=0.3339  uplink_kB=150.2  t=1.95s
  round  23/50: acc=0.4894  f1m=0.3339  uplink_kB=150.2  t=1.98s
  round  24/50: acc=0.4894  f1m=0.3339  uplink_kB=150.2  t=1.96s
  round  25/50: acc=0.4894  f1m=0.3339  uplink_kB=150.2  t=1.91s
  round  26/50: acc=0.4894  f1m=0.3339  uplink_kB=150.2  t=1.96s
  round  27/50: acc=0.4894  f1m=0.3339  uplink_kB=150.2  t=1.99s
  round  28/50: acc=0.4894  f1m=0.3339  uplink_kB=150.2  t=1.94s
  round  29/50: acc=0.4894  f1m=0.3339  uplink_kB=150.2  t=1.92s
  round  30/50: acc=0.4894  f1m=0.3338  uplink_kB=150.2  t=1.95s
  round  31/50: acc=0.4894  f1m=0.3338  uplink_kB=150.2  t=2.02s
  round  32/50: acc=0.4894  f1m=0.3338  uplink_kB=150.2  t=1.93s
  round  33/50: acc=0.4894  f1m=0.3338  uplink_kB=150.2  t=1.92s
  round  34/50: acc=0.4894  f1m=0.3338  uplink_kB=150.2  t=1.95s
  round  35/50: acc=0.4894  f1m=0.3339  uplink_kB=150.2  t=1.92s
  round  36/50: acc=0.4895  f1m=0.3339  uplink_kB=150.2  t=1.95s
  round  37/50: acc=0.4895  f1m=0.3339  uplink_kB=150.2  t=1.91s
  round  38/50: acc=0.4895  f1m=0.3339  uplink_kB=150.2  t=1.98s
  round  39/50: acc=0.4895  f1m=0.3339  uplink_kB=150.2  t=2.01s
  round  40/50: acc=0.4895  f1m=0.3339  uplink_kB=150.2  t=1.94s
  round  41/50: acc=0.4895  f1m=0.3339  uplink_kB=150.2  t=2.01s
  round  42/50: acc=0.4895  f1m=0.3339  uplink_kB=150.2  t=1.99s
  round  43/50: acc=0.4895  f1m=0.3339  uplink_kB=150.2  t=1.95s
  round  44/50: acc=0.4895  f1m=0.3339  uplink_kB=150.2  t=1.95s
  round  45/50: acc=0.4895  f1m=0.3339  uplink_kB=150.2  t=1.93s
  round  46/50: acc=0.4895  f1m=0.3339  uplink_kB=150.2  t=2.00s
  round  47/50: acc=0.4895  f1m=0.3339  uplink_kB=150.2  t=1.99s
  round  48/50: acc=0.4895  f1m=0.3339  uplink_kB=150.2  t=1.98s
  round  49/50: acc=0.4895  f1m=0.3339  uplink_kB=150.2  t=2.00s
  round  50/50: acc=0.4895  f1m=0.3339  uplink_kB=150.2  t=1.92s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_toniot/lrext_kan8_lr0p3__dir0.1__seed31/metrics.json  final_acc=0.4895
