round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,2.7003235410000004,153760,153760,0.5,0.3333333333333333,0.3333333333333333
2,2.027979458000001,153760,153760,0.6218461538461538,0.6121545501123564,0.6121545501123564
3,1.8910745000000002,153760,153760,0.44482692307692306,0.4443943148057642,0.44439431480576425
4,1.939802792,153760,153760,0.5,0.3333333333333333,0.3333333333333333
5,2.0269065830000006,153760,153760,0.5012115384615384,0.33841258316188444,0.33841258316188444
6,1.8808267090000008,153760,153760,0.7175769230769231,0.6936871876372176,0.6936871876372176
7,2.008825374999999,153760,153760,0.7176538461538462,0.6938561424036752,0.6938561424036751
8,1.9795916249999976,153760,153760,0.6258846153846154,0.6123396717620578,0.6123396717620578
9,1.9163513749999979,153760,153760,0.6259230769230769,0.6123853003972306,0.6123853003972305
10,1.974353875000002,153760,153760,0.6257884615384616,0.6122717914597837,0.6122717914597836
11,1.968239417000003,153760,153760,0.6261538461538462,0.6127223206350368,0.6127223206350368
12,1.9819756250000005,153760,153760,0.6265,0.613371988090174,0.613371988090174
13,1.9450611249999987,153760,153760,0.6272884615384615,0.6143770485676434,0.6143770485676433
14,1.972854458999997,153760,153760,0.6223461538461539,0.6106358062703899,0.6106358062703899
15,2.035929999999997,153760,153760,0.6246346153846154,0.6133828788638069,0.6133828788638069
16,1.9837068750000029,153760,153760,0.62575,0.6147080794343045,0.6147080794343045
17,1.9800868330000014,153760,153760,0.6322692307692308,0.622454807208918,0.622454807208918
18,2.0801411670000007,153760,153760,0.5,0.3333333333333333,0.3333333333333333
19,1.9956657080000042,153760,153760,0.5,0.3333333333333333,0.3333333333333333
20,2.0032773329999998,153760,153760,0.5,0.3333333333333333,0.3333333333333333
21,1.9704387499999996,153760,153760,0.5,0.3333333333333333,0.3333333333333333
22,1.9056212919999993,153760,153760,0.5,0.3333333333333333,0.3333333333333333
23,1.9966154159999974,153760,153760,0.5,0.3333333333333333,0.3333333333333333
24,1.9474057909999942,153760,153760,0.5,0.3333333333333333,0.3333333333333333
25,1.9380787910000024,153760,153760,0.5,0.3333333333333333,0.3333333333333333
26,1.9909967500000008,153760,153760,0.5,0.3333333333333333,0.3333333333333333
27,1.9306003750000045,153760,153760,0.5,0.3333333333333333,0.3333333333333333
28,1.9406424169999994,153760,153760,0.5,0.3333333333333333,0.3333333333333333
29,1.9660605830000009,153760,153760,0.5,0.3333333333333333,0.3333333333333333
30,1.937133082999999,153760,153760,0.5,0.3333333333333333,0.3333333333333333
31,1.9720749170000076,153760,153760,0.5,0.3333333333333333,0.3333333333333333
32,1.987732084000001,153760,153760,0.5,0.3333333333333333,0.3333333333333333
33,1.9807314999999903,153760,153760,0.5,0.3333333333333333,0.3333333333333333
34,2.003725083000006,153760,153760,0.5,0.3333333333333333,0.3333333333333333
35,1.9129519159999973,153760,153760,0.5,0.3333333333333333,0.3333333333333333
36,2.021821708999994,153760,153760,0.5,0.3333333333333333,0.3333333333333333
37,2.04150525,153760,153760,0.5,0.3333333333333333,0.3333333333333333
38,2.0003385419999944,153760,153760,0.5,0.3333333333333333,0.3333333333333333
39,1.9370969170000052,153760,153760,0.5,0.3333333333333333,0.3333333333333333
40,1.9903173339999967,153760,153760,0.5,0.3333333333333333,0.3333333333333333
41,1.9781652500000035,153760,153760,0.5,0.3333333333333333,0.3333333333333333
42,2.0297112920000018,153760,153760,0.5,0.3333333333333333,0.3333333333333333
43,1.8885562500000077,153760,153760,0.5,0.3333333333333333,0.3333333333333333
44,1.950201167000003,153760,153760,0.5,0.3333333333333333,0.3333333333333333
45,1.9690746250000046,153760,153760,0.5,0.3333333333333333,0.3333333333333333
46,1.9361202090000091,153760,153760,0.5,0.3333333333333333,0.3333333333333333
47,1.987590707999999,153760,153760,0.5,0.3333333333333333,0.3333333333333333
48,1.9404529589999981,153760,153760,0.5,0.3333333333333333,0.3333333333333333
49,1.882074958000004,153760,153760,0.5,0.3333333333333333,0.3333333333333333
50,1.902283708000013,153760,153760,0.5,0.3333333333333333,0.3333333333333333
