[run] device=cpu  seed=37  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_botiot/lrsweep_kan8_lr0p001__dir0.1__seed37
[run] model=kan  params=3,280
  round   1/50: acc=0.7913  f1m=0.7848  uplink_kB=150.2  t=2.35s
  round   2/50: acc=0.9270  f1m=0.9270  uplink_kB=150.2  t=1.61s
  round   3/50: acc=0.9199  f1m=0.9199  uplink_kB=150.2  t=1.61s
  round   4/50: acc=0.9279  f1m=0.9279  uplink_kB=150.2  t=1.59s
  round   5/50: acc=0.9282  f1m=0.9282  uplink_kB=150.2  t=1.56s
  round   6/50: acc=0.9338  f1m=0.9338  uplink_kB=150.2  t=1.63s
  round   7/50: acc=0.9125  f1m=0.9123  uplink_kB=150.2  t=1.57s
  round   8/50: acc=0.9220  f1m=0.9219  uplink_kB=150.2  t=1.62s
  round   9/50: acc=0.9203  f1m=0.9202  uplink_kB=150.2  t=1.63s
  round  10/50: acc=0.9639  f1m=0.9639  uplink_kB=150.2  t=1.63s
  round  11/50: acc=0.9668  f1m=0.9667  uplink_kB=150.2  t=1.61s
  round  12/50: acc=0.9682  f1m=0.9682  uplink_kB=150.2  t=1.57s
  round  13/50: acc=0.9687  f1m=0.9687  uplink_kB=150.2  t=1.61s
  round  14/50: acc=0.9701  f1m=0.9701  uplink_kB=150.2  t=1.66s
  round  15/50: acc=0.9701  f1m=0.9701  uplink_kB=150.2  t=1.62s
  round  16/50: acc=0.9702  f1m=0.9702  uplink_kB=150.2  t=1.65s
  round  17/50: acc=0.9702  f1m=0.9702  uplink_kB=150.2  t=1.61s
  round  18/50: acc=0.9705  f1m=0.9705  uplink_kB=150.2  t=1.73s
  round  19/50: acc=0.9705  f1m=0.9705  uplink_kB=150.2  t=1.63s
  round  20/50: acc=0.9704  f1m=0.9704  uplink_kB=150.2  t=1.58s
  round  21/50: acc=0.9705  f1m=0.9705  uplink_kB=150.2  t=1.64s
  round  22/50: acc=0.9704  f1m=0.9704  uplink_kB=150.2  t=1.67s
  round  23/50: acc=0.9706  f1m=0.9705  uplink_kB=150.2  t=1.62s
  round  24/50: acc=0.9705  f1m=0.9705  uplink_kB=150.2  t=1.61s
  round  25/50: acc=0.9705  f1m=0.9705  uplink_kB=150.2  t=1.57s
  round  26/50: acc=0.9706  f1m=0.9706  uplink_kB=150.2  t=1.56s
  round  27/50: acc=0.9731  f1m=0.9731  uplink_kB=150.2  t=1.66s
  round  28/50: acc=0.9729  f1m=0.9729  uplink_kB=150.2  t=1.66s
  round  29/50: acc=0.9609  f1m=0.9609  uplink_kB=150.2  t=1.61s
  round  30/50: acc=0.9730  f1m=0.9729  uplink_kB=150.2  t=1.69s
  round  31/50: acc=0.9730  f1m=0.9730  uplink_kB=150.2  t=1.60s
  round  32/50: acc=0.9730  f1m=0.9730  uplink_kB=150.2  t=1.56s
  round  33/50: acc=0.9731  f1m=0.9731  uplink_kB=150.2  t=1.58s
  round  34/50: acc=0.9731  f1m=0.9731  uplink_kB=150.2  t=1.52s
  round  35/50: acc=0.9732  f1m=0.9731  uplink_kB=150.2  t=1.56s
  round  36/50: acc=0.9731  f1m=0.9731  uplink_kB=150.2  t=1.67s
  round  37/50: acc=0.9731  f1m=0.9731  uplink_kB=150.2  t=1.60s
  round  38/50: acc=0.9731  f1m=0.9731  uplink_kB=150.2  t=1.57s
  round  39/50: acc=0.9731  f1m=0.9731  uplink_kB=150.2  t=1.62s
  round  40/50: acc=0.9731  f1m=0.9731  uplink_kB=150.2  t=1.61s
  round  41/50: acc=0.9734  f1m=0.9734  uplink_kB=150.2  t=1.57s
  round  42/50: acc=0.9732  f1m=0.9732  uplink_kB=150.2  t=1.59s
  round  43/50: acc=0.9732  f1m=0.9732  uplink_kB=150.2  t=1.61s
  round  44/50: acc=0.9731  f1m=0.9731  uplink_kB=150.2  t=1.60s
  round  45/50: acc=0.9734  f1m=0.9734  uplink_kB=150.2  t=1.57s
  round  46/50: acc=0.9734  f1m=0.9734  uplink_kB=150.2  t=1.57s
  round  47/50: acc=0.9734  f1m=0.9734  uplink_kB=150.2  t=1.60s
  round  48/50: acc=0.9734  f1m=0.9734  uplink_kB=150.2  t=1.58s
  round  49/50: acc=0.9735  f1m=0.9735  uplink_kB=150.2  t=1.63s
  round  50/50: acc=0.9734  f1m=0.9734  uplink_kB=150.2  t=1.59s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_botiot/lrsweep_kan8_lr0p001__dir0.1__seed37/metrics.json  final_acc=0.9734
