round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,1.406262667,134480,134480,0.906026557711951,0.9058439565711133,0.9058529867369403
2,0.7089429579999997,134480,134480,0.7382966831769037,0.7188384160471912,0.7189994991377155
3,0.6966336669999995,134480,134480,0.8189719968392853,0.8127585542649303,0.8128328368517799
4,0.6900500840000001,134480,134480,0.8395937325341608,0.8353123945631165,0.8353702228192398
5,0.7076542499999992,134480,134480,0.8452020737371596,0.8414470999630123,0.8415002386025212
6,0.6349947080000007,134480,134480,0.8365293811552027,0.8320595394647992,0.8321192077590716
7,0.6800674170000001,134480,134480,0.8443733497793282,0.8404564429714954,0.8405108846036338
8,0.684343084,134480,134480,0.870699789928113,0.8685338557152837,0.8685706050495254
9,0.6787704170000008,134480,134480,0.9134272553818875,0.9132740255247277,0.9132819645315406
10,0.7126988749999992,134480,134480,0.9192090504365256,0.9191025089947426,0.9191089026128634
11,0.7616951669999992,134480,134480,0.9199414111434463,0.9198400589838192,0.9198462664602625
12,0.6388418330000007,134480,134480,0.9309846396978049,0.930943138183986,0.9309468250323047
13,0.6996093749999996,134480,134480,0.934048991076763,0.934018740643756,0.9340218174204705
14,0.7113837920000012,134480,134480,0.936034074045522,0.9360098281124778,0.9360125407762739
15,0.6743703330000006,134480,134480,0.9576001695993216,0.9575994684361626,0.957599092931722
16,0.6907185000000027,134480,134480,0.9544009096690886,0.9544008507109667,0.9544009636307595
17,0.7028962920000019,134480,134480,0.9570027174436757,0.9570026520275988,0.957002536527338
18,0.6595546659999982,134480,134480,0.9646346869157978,0.9646319791858995,0.9646313052355064
19,0.6908864590000015,134480,134480,0.985082968759034,0.9850798928933742,0.9850803594340716
20,0.683654041999997,134480,134480,0.9888989534950952,0.9888977196241986,0.9888979745189175
21,0.7226304170000013,134480,134480,0.9883978645903598,0.9883964691940519,0.9883967463114206
22,0.6901574579999981,134480,134480,0.9893036791489198,0.9893026129945175,0.9893028455726014
23,0.6800597500000016,134480,134480,0.9850444234586698,0.9850412730458609,0.9850417458169729
24,0.6551760830000006,134480,134480,0.9800142617611348,0.9800065657474362,0.9800074200200767
25,0.6834937500000002,134480,134480,0.9787422668491145,0.9787331212707696,0.9787340817264881
26,0.6849577910000022,134480,134480,0.918380326478694,0.917837881478654,0.9178524204456854
27,0.6826845000000006,134480,134480,0.9198835931928999,0.9193707834238702,0.9193847871705837
28,0.6704866249999988,134480,134480,0.9212904966561952,0.9208044198240766,0.9208179319229769
29,0.7262594590000013,134480,134480,0.918515235029969,0.9179760115630451,0.9179904951028032
30,0.6573397499999984,134480,134480,0.9199221384932642,0.9194105722324954,0.9194245555386074
31,0.578504959,134480,134480,0.9211170428045561,0.9206291710426122,0.9206427230359996
32,0.6641130840000002,134480,134480,0.918515235029969,0.9179749788905576,0.9179894763837311
33,0.742052417,134480,134480,0.9173974213194056,0.9168344599442716,0.9168493614751664
34,0.7577040000000004,134480,134480,0.9198835931928999,0.9193697851677094,0.9193838026246979
35,0.6850753750000003,134480,134480,0.9196523213907144,0.9191350249053203,0.9191491103276938
36,0.691617916000002,134480,134480,0.9209821342532811,0.9204897949457037,0.9205034207947745
37,0.6987150839999998,134480,134480,0.9178599649237766,0.9173059497459555,0.9173206904370536
38,0.7006670419999992,134480,134480,0.9178021469732303,0.9172469530156591,0.9172617146432369
39,0.6777006660000033,134480,134480,0.9213868599071058,0.9209025790891633,0.9209160578409927
40,0.7634602090000016,134480,134480,0.9222541291653015,0.9217872196610974,0.9218003802432813
41,0.6838745419999981,134480,134480,0.9208472257020063,0.9203538027021939,0.9203674551994953
42,0.7036734169999974,134480,134480,0.920346136797271,0.9198427149157902,0.9198565492233308
43,0.6941492499999953,134480,134480,0.9210206795536454,0.9205300346140886,0.9205436335540371
44,0.6429448749999978,134480,134480,0.9213868599071058,0.9209025790891633,0.9209160578409927
45,0.7050432919999992,134480,134480,0.9225624915682156,0.9221016255061336,0.9221146743322463
46,0.7146115829999999,134480,134480,0.922620309518762,0.9221576957622697,0.9221707646008906
47,0.6869219579999992,134480,134480,0.9226974001194904,0.9222371050077797,0.9222501344034768
48,0.6838701249999986,134480,134480,0.9226974001194904,0.9222366409249392,0.9222496769261872
49,0.7001131669999978,134480,134480,0.9217723129107483,0.9212889723871986,0.921302405116948
50,0.6535843750000012,134480,134480,0.922639582168944,0.9221791749083177,0.9221922107440609
