round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,2.634683875,288800,288800,0.7383461538461539,0.7244688287234213,0.7244688287234213
2,2.0246010420000005,288800,288800,0.7442307692307693,0.7314738343126558,0.7314738343126558
3,2.0209017090000003,288800,288800,0.7396538461538461,0.7277850988810799,0.7277850988810799
4,1.9576119159999994,288800,288800,0.7389423076923077,0.7274698821702659,0.7274698821702659
5,2.0042561249999995,288800,288800,0.7387884615384616,0.72776680578493,0.72776680578493
6,1.9977562090000003,288800,288800,0.7721346153846154,0.7656020056078887,0.7656020056078887
7,2.2522065840000014,288800,288800,0.7788461538461539,0.7730673608524461,0.7730673608524461
8,2.081032750000002,288800,288800,0.798826923076923,0.7949601412133042,0.794960141213304
9,1.965840583000002,288800,288800,0.8320961538461539,0.8302882790900645,0.8302882790900646
10,1.9143057500000005,288800,288800,0.8648846153846154,0.864254082828426,0.8642540828284259
11,1.956317459000001,288800,288800,0.9195,0.9194908618555315,0.9194908618555315
12,2.0231038330000004,288800,288800,0.9022307692307693,0.9021957472061415,0.9021957472061415
13,1.9539257079999999,288800,288800,0.905673076923077,0.9055806434108771,0.905580643410877
14,2.1385868330000015,288800,288800,0.9131538461538462,0.9130199792698703,0.9130199792698703
15,2.058013417000005,288800,288800,0.9183653846153846,0.9182099323983971,0.9182099323983972
16,1.9566576660000052,288800,288800,0.9141730769230769,0.9139574739223096,0.9139574739223096
17,1.9727206669999973,288800,288800,0.9163076923076923,0.9160940369436816,0.9160940369436816
18,1.8666188749999932,288800,288800,0.9171153846153847,0.9169011962193678,0.9169011962193679
19,1.931562833000001,288800,288800,0.9191730769230769,0.9189771643957594,0.9189771643957594
20,1.964612416999998,288800,288800,0.9200384615384616,0.9198502281393403,0.9198502281393404
21,1.9478706250000002,288800,288800,0.9203461538461538,0.9201592409600751,0.9201592409600751
22,1.9577165829999998,288800,288800,0.9204807692307693,0.9202934281009554,0.9202934281009554
23,1.9691982079999946,288800,288800,0.9209807692307692,0.9207913348828387,0.9207913348828386
24,1.9104417080000005,288800,288800,0.9247884615384615,0.9246320350764077,0.9246320350764078
25,1.8548839999999984,288800,288800,0.9249423076923077,0.9247864652204287,0.9247864652204287
26,1.9483031250000025,288800,288800,0.9255576923076924,0.9253989111460157,0.9253989111460158
27,1.9556612080000022,288800,288800,0.9254807692307693,0.9253228845479058,0.9253228845479057
28,1.892074541999996,288800,288800,0.926,0.925839646776242,0.9258396467762419
29,1.9620332499999975,288800,288800,0.9310192307692308,0.9309057913404069,0.9309057913404069
30,1.9190880000000021,288800,288800,0.9316730769230769,0.9315570509120161,0.9315570509120161
31,1.9320780829999933,288800,288800,0.9320384615384616,0.9319212128472878,0.9319212128472878
32,1.8582250409999972,288800,288800,0.9520192307692308,0.9519966024043215,0.9519966024043214
33,1.9133177920000008,288800,288800,0.9523269230769231,0.9523036358033621,0.9523036358033622
34,1.9326837910000023,288800,288800,0.9528461538461539,0.9528223517455576,0.9528223517455576
35,1.989714915999997,288800,288800,0.9537307692307693,0.9537059509636879,0.953705950963688
36,1.9035178339999987,288800,288800,0.9531346153846154,0.9531107558169898,0.9531107558169898
37,1.9029422500000095,288800,288800,0.9524807692307692,0.9524580396551283,0.9524580396551282
38,1.8725165410000102,288800,288800,0.9523076923076923,0.9522850802354497,0.9522850802354496
39,1.7917906670000008,288800,288800,0.9531538461538461,0.9531296288015938,0.9531296288015938
40,1.9195734999999985,288800,288800,0.953,0.9529765187968366,0.9529765187968366
41,1.9010517910000004,288800,288800,0.9568653846153846,0.9568500899989307,0.9568500899989307
42,1.8813047080000018,288800,288800,0.9579230769230769,0.9579103563867621,0.9579103563867623
43,1.897208207999995,288800,288800,0.9584230769230769,0.9584097738955037,0.9584097738955039
44,1.908835499999995,288800,288800,0.9587115384615384,0.9586986384914287,0.9586986384914286
45,1.8384322089999898,288800,288800,0.9584423076923076,0.9584297719163789,0.9584297719163789
46,1.9612979590000066,288800,288800,0.9584423076923076,0.9584298274010037,0.9584298274010037
47,1.899477042000001,288800,288800,0.9585769230769231,0.9585643447198455,0.9585643447198456
48,1.9200085000000087,288800,288800,0.9590384615384615,0.9590252423906623,0.9590252423906623
49,1.9477697079999956,288800,288800,0.9593076923076923,0.9592941061134495,0.9592941061134495
50,1.9450774169999931,288800,288800,0.9596923076923077,0.9596782191666484,0.9596782191666484
