[run] device=cpu  seed=42  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_cseciic/lrsweep_kan16_lr0p0003__dir0.1__seed42
[run] model=kan  params=6,560
  round   1/50: acc=0.8124  f1m=0.8118  uplink_kB=282.0  t=2.49s
  round   2/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=2.05s
  round   3/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.95s
  round   4/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.99s
  round   5/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.85s
  round   6/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.96s
  round   7/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=2.09s
  round   8/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=2.05s
  round   9/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.94s
  round  10/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.88s
  round  11/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.93s
  round  12/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.89s
  round  13/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=2.00s
  round  14/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.91s
  round  15/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.99s
  round  16/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.89s
  round  17/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.89s
  round  18/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.94s
  round  19/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.83s
  round  20/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.92s
  round  21/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=2.13s
  round  22/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.91s
  round  23/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.88s
  round  24/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.94s
  round  25/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.85s
  round  26/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.92s
  round  27/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.98s
  round  28/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.99s
  round  29/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.90s
  round  30/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.94s
  round  31/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=2.07s
  round  32/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.92s
  round  33/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.98s
  round  34/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=2.09s
  round  35/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.99s
  round  36/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=2.02s
  round  37/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.91s
  round  38/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.88s
  round  39/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=2.06s
  round  40/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.83s
  round  41/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.88s
  round  42/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.90s
  round  43/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.89s
  round  44/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.92s
  round  45/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.89s
  round  46/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.89s
  round  47/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.80s
  round  48/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.87s
  round  49/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.90s
  round  50/50: acc=0.5000  f1m=0.3333  uplink_kB=282.0  t=1.89s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_cseciic/lrsweep_kan16_lr0p0003__dir0.1__seed42/metrics.json  final_acc=0.5000
