[run] device=cpu  seed=43  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_cseciic/lrsweep_mlp32_lr0p0003__dir0.1__seed43
[run] model=mlp  params=1,346
  round   1/50: acc=0.6542  f1m=0.6347  uplink_kB=52.6  t=1.34s
  round   2/50: acc=0.6757  f1m=0.6699  uplink_kB=52.6  t=0.65s
  round   3/50: acc=0.5425  f1m=0.5420  uplink_kB=52.6  t=0.72s
  round   4/50: acc=0.6630  f1m=0.6409  uplink_kB=52.6  t=0.62s
  round   5/50: acc=0.7799  f1m=0.7728  uplink_kB=52.6  t=0.69s
  round   6/50: acc=0.8524  f1m=0.8510  uplink_kB=52.6  t=0.70s
  round   7/50: acc=0.9078  f1m=0.9077  uplink_kB=52.6  t=0.66s
  round   8/50: acc=0.9133  f1m=0.9131  uplink_kB=52.6  t=0.74s
  round   9/50: acc=0.9103  f1m=0.9101  uplink_kB=52.6  t=0.69s
  round  10/50: acc=0.9091  f1m=0.9090  uplink_kB=52.6  t=0.72s
  round  11/50: acc=0.9091  f1m=0.9089  uplink_kB=52.6  t=0.66s
  round  12/50: acc=0.9090  f1m=0.9089  uplink_kB=52.6  t=0.65s
  round  13/50: acc=0.9093  f1m=0.9092  uplink_kB=52.6  t=0.66s
  round  14/50: acc=0.9116  f1m=0.9115  uplink_kB=52.6  t=0.70s
  round  15/50: acc=0.9134  f1m=0.9133  uplink_kB=52.6  t=0.67s
  round  16/50: acc=0.9136  f1m=0.9134  uplink_kB=52.6  t=0.68s
  round  17/50: acc=0.9136  f1m=0.9135  uplink_kB=52.6  t=0.64s
  round  18/50: acc=0.9136  f1m=0.9134  uplink_kB=52.6  t=0.66s
  round  19/50: acc=0.9136  f1m=0.9134  uplink_kB=52.6  t=0.65s
  round  20/50: acc=0.9135  f1m=0.9134  uplink_kB=52.6  t=0.71s
  round  21/50: acc=0.9135  f1m=0.9134  uplink_kB=52.6  t=0.71s
  round  22/50: acc=0.9135  f1m=0.9134  uplink_kB=52.6  t=0.76s
  round  23/50: acc=0.9135  f1m=0.9134  uplink_kB=52.6  t=1.02s
  round  24/50: acc=0.9135  f1m=0.9134  uplink_kB=52.6  t=1.03s
  round  25/50: acc=0.9135  f1m=0.9134  uplink_kB=52.6  t=1.11s
  round  26/50: acc=0.9135  f1m=0.9134  uplink_kB=52.6  t=1.05s
  round  27/50: acc=0.9135  f1m=0.9134  uplink_kB=52.6  t=1.01s
  round  28/50: acc=0.9135  f1m=0.9134  uplink_kB=52.6  t=1.39s
  round  29/50: acc=0.9136  f1m=0.9134  uplink_kB=52.6  t=1.56s
  round  30/50: acc=0.9136  f1m=0.9134  uplink_kB=52.6  t=1.54s
  round  31/50: acc=0.9136  f1m=0.9134  uplink_kB=52.6  t=1.41s
  round  32/50: acc=0.9136  f1m=0.9134  uplink_kB=52.6  t=0.71s
  round  33/50: acc=0.9136  f1m=0.9134  uplink_kB=52.6  t=0.70s
  round  34/50: acc=0.9136  f1m=0.9134  uplink_kB=52.6  t=0.68s
  round  35/50: acc=0.9136  f1m=0.9134  uplink_kB=52.6  t=0.65s
  round  36/50: acc=0.9136  f1m=0.9134  uplink_kB=52.6  t=0.67s
  round  37/50: acc=0.9136  f1m=0.9135  uplink_kB=52.6  t=0.67s
  round  38/50: acc=0.9136  f1m=0.9135  uplink_kB=52.6  t=0.64s
  round  39/50: acc=0.9136  f1m=0.9135  uplink_kB=52.6  t=0.68s
  round  40/50: acc=0.9136  f1m=0.9135  uplink_kB=52.6  t=0.65s
  round  41/50: acc=0.9136  f1m=0.9135  uplink_kB=52.6  t=0.70s
  round  42/50: acc=0.9137  f1m=0.9135  uplink_kB=52.6  t=0.68s
  round  43/50: acc=0.9137  f1m=0.9135  uplink_kB=52.6  t=0.68s
  round  44/50: acc=0.9137  f1m=0.9135  uplink_kB=52.6  t=0.73s
  round  45/50: acc=0.9137  f1m=0.9135  uplink_kB=52.6  t=0.71s
  round  46/50: acc=0.9137  f1m=0.9135  uplink_kB=52.6  t=0.61s
  round  47/50: acc=0.9137  f1m=0.9135  uplink_kB=52.6  t=0.67s
  round  48/50: acc=0.9137  f1m=0.9136  uplink_kB=52.6  t=0.70s
  round  49/50: acc=0.9137  f1m=0.9136  uplink_kB=52.6  t=0.69s
  round  50/50: acc=0.9137  f1m=0.9136  uplink_kB=52.6  t=0.72s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_cseciic/lrsweep_mlp32_lr0p0003__dir0.1__seed43/metrics.json  final_acc=0.9137
