round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,3.4238892909999996,195360,195360,0.20110243118931154,0.05958714486022621,0.10875948174824086
2,2.798171666999999,195360,195360,0.33811540239955223,0.10025735131723135,0.18299144213556134
3,2.915744042,195360,195360,0.5794212844661848,0.3368053227684026,0.48574877789225906
4,3.006009875,195360,195360,0.5742741719597966,0.33480666128624464,0.4817940251717432
5,3.185643917,195360,195360,0.701747341266944,0.4626270805939216,0.6404670822185148
6,3.146470833000002,195360,195360,0.711469664890122,0.4719917554604917,0.6549582069909456
7,3.1052719159999995,195360,195360,0.7379961548757635,0.4870893686855167,0.6820422096675361
8,3.1037197499999998,195360,195360,0.7469883916186026,0.5261316254471669,0.69734849137175
9,3.0490732499999993,195360,195360,0.7894551118249739,0.5947205486559121,0.7585195556842393
10,3.1613453750000033,195360,195360,0.769341218271641,0.56853443931537,0.7332209771769306
11,3.30333375,195360,195360,0.797790270375508,0.6045381708236497,0.766578768799942
12,3.1043136669999996,195360,195360,0.7887858655179967,0.5986451106259053,0.7572764670127389
13,3.128323625,195360,195360,0.8147891265727288,0.6243373755605742,0.7802456587460744
14,3.1669301250000004,195360,195360,0.7907936044389282,0.605998105492573,0.7515025200757033
15,3.1879934170000013,195360,195360,0.8086929011219002,0.6349049919702968,0.7770373877632231
16,3.1439780419999934,195360,195360,0.8018179163320435,0.6210093188332023,0.7735723017009671
17,3.094502625000004,195360,195360,0.8072935679345842,0.6353668347285081,0.7795817291016964
18,3.2001313329999945,195360,195360,0.7961962473534351,0.6246337511018625,0.7651428992479363
19,3.2242352499999996,195360,195360,0.791718381154024,0.6195794502609148,0.7595678443830937
20,3.231292125000003,195360,195360,0.7962084154681074,0.6242093526206328,0.7644646626726853
21,3.157930540999999,195360,195360,0.7976564211141126,0.6236141175709776,0.7628762502237854
22,3.260942958000001,195360,195360,0.7977294298021465,0.6263702936303719,0.7661096599263421
23,3.2460075829999937,195360,195360,0.7979971283249373,0.6277703161442146,0.7727208342332055
24,3.1215242090000004,195360,195360,0.802925214767224,0.630806939246501,0.7739075654801154
25,3.2010917089999964,195360,195360,0.8116497529872722,0.6402839592477421,0.7862362720196888
26,3.0226051249999983,195360,195360,0.8148256309167458,0.6385793924084057,0.7824231898618573
27,3.1687433750000054,195360,195360,0.814643109196661,0.6385140041022578,0.7782830265823293
28,3.1448027910000036,195360,195360,0.8175269523739992,0.6382483263289879,0.7781524979599773
29,3.35091125000001,195360,195360,0.8171132364751406,0.6398565751125045,0.7808326623975982
30,3.0798205410000037,195360,195360,0.8128665644545034,0.6374538381016933,0.7792295763825362
31,3.2350592919999883,195360,195360,0.81016524299725,0.6349947158957352,0.7726111586702431
32,3.1528347089999897,195360,195360,0.8209096882529021,0.6420216020449507,0.7846715474821798
33,3.2082209999999947,195360,195360,0.817210581392519,0.639820697246122,0.7820003718945792
34,2.9784560829999975,195360,195360,0.8256309167457594,0.6522835548988775,0.8023590280999583
35,3.0892847499999903,195360,195360,0.8240125574943419,0.6475726410128541,0.7951536285730517
36,3.006401582999999,195360,195360,0.8105424545520917,0.6358802682117547,0.777174171113727
37,3.1083157500000027,195360,195360,0.8208366795648682,0.6487210614060778,0.7928638873256139
38,3.0632384580000007,195360,195360,0.8291596700007301,0.6534932819339211,0.8003829242868153
39,3.078633291999992,195360,195360,0.8765058041906987,0.7285396189355133,0.861626857403946
40,3.029653209000003,195360,195360,0.8286729454138376,0.6514808933687568,0.798154337751984
41,3.167537374999995,195360,195360,0.8147039497700226,0.6423159078265918,0.7891959493297908
42,3.110381416999985,195360,195360,0.8886252464043222,0.7535097642844959,0.8765210718968662
43,3.040898416999994,195360,195360,0.8201430970285464,0.6475395431263552,0.7890501200231637
44,3.089270541000019,195360,195360,0.8910832055681293,0.7513675923962952,0.873374785784092
45,3.1401152920000186,195360,195360,0.8787934097490935,0.7444560968441469,0.8650903485518725
46,3.095773041000001,195360,195360,0.833284660874644,0.6593115544356305,0.80310282966059
47,3.0650067499999807,195360,195360,0.8940035530894843,0.7553418891492254,0.8776566205445308
48,3.0843570830000147,195360,195360,0.8299749336837751,0.6569395962659875,0.798712159821579
49,3.0084175000000073,195360,195360,0.8920931590859312,0.7538501204346877,0.8870568019068342
50,3.1100385000000017,195360,195360,0.8172714219658807,0.6458586442793687,0.7906912305642974
