[run] device=cpu  seed=37  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_toniot/lrsweep_kan8_lr0p0003__dir0.1__seed37
[run] model=kan  params=3,280
  round   1/50: acc=0.4661  f1m=0.4086  uplink_kB=150.2  t=2.16s
  round   2/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.65s
  round   3/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.76s
  round   4/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.71s
  round   5/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.67s
  round   6/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.58s
  round   7/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.62s
  round   8/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.68s
  round   9/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.68s
  round  10/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.68s
  round  11/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.74s
  round  12/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.66s
  round  13/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.64s
  round  14/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.71s
  round  15/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.67s
  round  16/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.66s
  round  17/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.67s
  round  18/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.68s
  round  19/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.58s
  round  20/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.66s
  round  21/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.65s
  round  22/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.63s
  round  23/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.69s
  round  24/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.66s
  round  25/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.65s
  round  26/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.80s
  round  27/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.69s
  round  28/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.67s
  round  29/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.68s
  round  30/50: acc=0.5001  f1m=0.3335  uplink_kB=150.2  t=1.75s
  round  31/50: acc=0.5001  f1m=0.3336  uplink_kB=150.2  t=1.65s
  round  32/50: acc=0.5002  f1m=0.3337  uplink_kB=150.2  t=1.66s
  round  33/50: acc=0.5003  f1m=0.3340  uplink_kB=150.2  t=1.65s
  round  34/50: acc=0.5007  f1m=0.3349  uplink_kB=150.2  t=1.63s
  round  35/50: acc=0.5014  f1m=0.3364  uplink_kB=150.2  t=1.68s
  round  36/50: acc=0.5032  f1m=0.3403  uplink_kB=150.2  t=1.66s
  round  37/50: acc=0.5083  f1m=0.3516  uplink_kB=150.2  t=1.59s
  round  38/50: acc=0.5172  f1m=0.3707  uplink_kB=150.2  t=1.67s
  round  39/50: acc=0.5209  f1m=0.3786  uplink_kB=150.2  t=1.66s
  round  40/50: acc=0.5221  f1m=0.3814  uplink_kB=150.2  t=1.64s
  round  41/50: acc=0.5233  f1m=0.3838  uplink_kB=150.2  t=1.75s
  round  42/50: acc=0.5248  f1m=0.3870  uplink_kB=150.2  t=1.63s
  round  43/50: acc=0.5298  f1m=0.3984  uplink_kB=150.2  t=1.64s
  round  44/50: acc=0.5331  f1m=0.4061  uplink_kB=150.2  t=1.64s
  round  45/50: acc=0.5364  f1m=0.4132  uplink_kB=150.2  t=1.64s
  round  46/50: acc=0.5422  f1m=0.4256  uplink_kB=150.2  t=1.67s
  round  47/50: acc=0.5468  f1m=0.4346  uplink_kB=150.2  t=1.76s
  round  48/50: acc=0.5491  f1m=0.4400  uplink_kB=150.2  t=1.68s
  round  49/50: acc=0.5517  f1m=0.4455  uplink_kB=150.2  t=1.63s
  round  50/50: acc=0.7712  f1m=0.7601  uplink_kB=150.2  t=1.55s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_toniot/lrsweep_kan8_lr0p0003__dir0.1__seed37/metrics.json  final_acc=0.7712
