round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,2.609318917,153760,153760,0.7273846153846154,0.7067363369011077,0.7067363369011078
2,1.8402058750000005,153760,153760,0.6352307692307693,0.6257087051160991,0.6257087051160991
3,1.8532590829999993,153760,153760,0.7291730769230769,0.7115445413424539,0.7115445413424538
4,1.8298091249999988,153760,153760,0.7470961538461538,0.7315780064506665,0.7315780064506665
5,1.7893912499999995,153760,153760,0.7586923076923077,0.745591790264976,0.7455917902649761
6,1.8081256669999988,153760,153760,0.7688269230769231,0.7580819989828718,0.7580819989828717
7,1.788875208000002,153760,153760,0.7738076923076923,0.7641281213728264,0.7641281213728264
8,1.8051105420000013,153760,153760,0.7791346153846154,0.7705733684495683,0.7705733684495684
9,1.791392708,153760,153760,0.7815769230769231,0.773533336400865,0.7735333364008651
10,1.8117862500000008,153760,153760,0.7815961538461539,0.7735821780178891,0.7735821780178891
11,1.8166720000000005,153760,153760,0.7822692307692307,0.7743019476244075,0.7743019476244075
12,1.8123956250000006,153760,153760,0.78025,0.7719488853664034,0.7719488853664035
13,1.751812000000001,153760,153760,0.7897884615384615,0.7828347544815628,0.7828347544815629
14,1.7866988750000026,153760,153760,0.5469423076923077,0.4399414065118432,0.43994140651184327
15,1.8156067090000008,153760,153760,0.8666538461538461,0.8651750137044225,0.8651750137044224
16,1.8193977499999967,153760,153760,0.7779615384615385,0.7689673627034472,0.7689673627034473
17,1.8058315829999998,153760,153760,0.8445384615384616,0.8417356847990236,0.8417356847990237
18,1.838725249999996,153760,153760,0.7715192307692308,0.7611532565770456,0.7611532565770456
19,1.8276801250000005,153760,153760,0.8689807692307693,0.8675411986995609,0.867541198699561
20,1.7760492499999998,153760,153760,0.8518269230769231,0.8495079301641448,0.8495079301641448
21,1.8279520419999997,153760,153760,0.8795,0.8788385875564838,0.8788385875564838
22,1.822763541999997,153760,153760,0.8639807692307693,0.8623749387926183,0.8623749387926182
23,1.8540193330000037,153760,153760,0.8710192307692308,0.8696083935391021,0.869608393539102
24,1.8853832500000038,153760,153760,0.8618461538461538,0.8600121103794317,0.8600121103794318
25,1.7496839160000022,153760,153760,0.9054038461538462,0.9053956841175119,0.9053956841175119
26,1.7852615420000006,153760,153760,0.8625384615384616,0.8607678604250872,0.8607678604250872
27,1.8469502920000025,153760,153760,0.8729423076923077,0.8718444081686576,0.8718444081686577
28,1.8590434999999985,153760,153760,0.8575961538461538,0.8549885908095505,0.8549885908095505
29,1.7996338749999978,153760,153760,0.8472115384615385,0.8443148592941692,0.8443148592941692
30,1.8323482090000027,153760,153760,0.8553653846153846,0.8526011858164726,0.8526011858164725
31,1.8476544589999975,153760,153760,0.8454423076923077,0.8421435939933781,0.8421435939933782
32,1.800511291999996,153760,153760,0.8587115384615385,0.8564131267607804,0.8564131267607804
33,1.724286958999997,153760,153760,0.8401923076923077,0.8364557324589577,0.8364557324589575
34,1.8250630830000034,153760,153760,0.819076923076923,0.8131991788681645,0.8131991788681645
35,1.8203077080000014,153760,153760,0.7689615384615385,0.7568490194867665,0.7568490194867665
36,1.8226533750000016,153760,153760,0.8445384615384616,0.8411706697959143,0.8411706697959143
37,1.8064660419999967,153760,153760,0.8811923076923077,0.8803260980763701,0.8803260980763701
38,1.8013297500000078,153760,153760,0.7558076923076923,0.7413203260721586,0.7413203260721586
39,1.7812965410000032,153760,153760,0.8577884615384616,0.8552852865589489,0.8552852865589488
40,1.7745319160000008,153760,153760,0.8514038461538461,0.8486414048559614,0.8486414048559614
41,1.821455874999998,153760,153760,0.86625,0.8641869229649822,0.8641869229649822
42,1.7817554589999958,153760,153760,0.7729423076923077,0.7625492131156466,0.7625492131156467
43,1.783268624999991,153760,153760,0.8593461538461539,0.8568267276302141,0.8568267276302141
44,1.7922512079999962,153760,153760,0.8690576923076923,0.8672650912144754,0.8672650912144754
45,1.8214537500000034,153760,153760,0.871576923076923,0.8698075848513814,0.8698075848513814
46,1.8109496249999921,153760,153760,0.7627692307692308,0.750114449461337,0.7501144494613369
47,1.823250583999993,153760,153760,0.8605961538461538,0.8581816638941966,0.8581816638941967
48,1.812064417000002,153760,153760,0.7761730769230769,0.7657138854953136,0.7657138854953135
49,1.85918925,153760,153760,0.8360576923076923,0.8319405260048249,0.8319405260048248
50,1.8362371249999967,153760,153760,0.7746538461538461,0.7639685253189039,0.7639685253189038
