[run] device=cpu  seed=11  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_toniot/lrsweep_mlp32_lr0p0003__dir0.1__seed11
[run] model=mlp  params=1,346
  round   1/50: acc=0.5893  f1m=0.5825  uplink_kB=52.6  t=1.16s
  round   2/50: acc=0.5000  f1m=0.3333  uplink_kB=52.6  t=0.63s
  round   3/50: acc=0.5000  f1m=0.3333  uplink_kB=52.6  t=0.70s
  round   4/50: acc=0.5000  f1m=0.3333  uplink_kB=52.6  t=0.69s
  round   5/50: acc=0.5000  f1m=0.3333  uplink_kB=52.6  t=0.59s
  round   6/50: acc=0.5000  f1m=0.3333  uplink_kB=52.6  t=0.65s
  round   7/50: acc=0.5000  f1m=0.3333  uplink_kB=52.6  t=0.65s
  round   8/50: acc=0.5000  f1m=0.3333  uplink_kB=52.6  t=0.68s
  round   9/50: acc=0.5000  f1m=0.3333  uplink_kB=52.6  t=0.65s
  round  10/50: acc=0.5000  f1m=0.3333  uplink_kB=52.6  t=0.68s
  round  11/50: acc=0.5000  f1m=0.3333  uplink_kB=52.6  t=0.66s
  round  12/50: acc=0.5000  f1m=0.3333  uplink_kB=52.6  t=0.62s
  round  13/50: acc=0.5000  f1m=0.3333  uplink_kB=52.6  t=0.68s
  round  14/50: acc=0.5000  f1m=0.3333  uplink_kB=52.6  t=0.68s
  round  15/50: acc=0.5000  f1m=0.3333  uplink_kB=52.6  t=0.67s
  round  16/50: acc=0.5000  f1m=0.3333  uplink_kB=52.6  t=0.65s
  round  17/50: acc=0.5000  f1m=0.3333  uplink_kB=52.6  t=0.61s
  round  18/50: acc=0.5000  f1m=0.3333  uplink_kB=52.6  t=0.62s
  round  19/50: acc=0.5000  f1m=0.3333  uplink_kB=52.6  t=0.68s
  round  20/50: acc=0.5001  f1m=0.3336  uplink_kB=52.6  t=0.64s
  round  21/50: acc=0.5009  f1m=0.3354  uplink_kB=52.6  t=0.63s
  round  22/50: acc=0.5025  f1m=0.3390  uplink_kB=52.6  t=0.63s
  round  23/50: acc=0.5059  f1m=0.3464  uplink_kB=52.6  t=0.63s
  round  24/50: acc=0.5096  f1m=0.3545  uplink_kB=52.6  t=0.60s
  round  25/50: acc=0.5106  f1m=0.3566  uplink_kB=52.6  t=0.67s
  round  26/50: acc=0.5114  f1m=0.3584  uplink_kB=52.6  t=0.63s
  round  27/50: acc=0.5119  f1m=0.3596  uplink_kB=52.6  t=0.65s
  round  28/50: acc=0.5125  f1m=0.3608  uplink_kB=52.6  t=0.65s
  round  29/50: acc=0.5130  f1m=0.3620  uplink_kB=52.6  t=0.63s
  round  30/50: acc=0.5133  f1m=0.3628  uplink_kB=52.6  t=0.64s
  round  31/50: acc=0.5134  f1m=0.3630  uplink_kB=52.6  t=0.63s
  round  32/50: acc=0.5136  f1m=0.3633  uplink_kB=52.6  t=0.59s
  round  33/50: acc=0.5139  f1m=0.3639  uplink_kB=52.6  t=0.68s
  round  34/50: acc=0.5138  f1m=0.3639  uplink_kB=52.6  t=0.67s
  round  35/50: acc=0.5140  f1m=0.3643  uplink_kB=52.6  t=0.66s
  round  36/50: acc=0.5142  f1m=0.3649  uplink_kB=52.6  t=0.63s
  round  37/50: acc=0.5142  f1m=0.3649  uplink_kB=52.6  t=0.60s
  round  38/50: acc=0.5142  f1m=0.3648  uplink_kB=52.6  t=0.63s
  round  39/50: acc=0.5142  f1m=0.3647  uplink_kB=52.6  t=0.65s
  round  40/50: acc=0.5141  f1m=0.3647  uplink_kB=52.6  t=0.66s
  round  41/50: acc=0.5141  f1m=0.3647  uplink_kB=52.6  t=0.68s
  round  42/50: acc=0.5141  f1m=0.3648  uplink_kB=52.6  t=0.63s
  round  43/50: acc=0.5142  f1m=0.3649  uplink_kB=52.6  t=0.61s
  round  44/50: acc=0.5140  f1m=0.3648  uplink_kB=52.6  t=0.67s
  round  45/50: acc=0.5141  f1m=0.3650  uplink_kB=52.6  t=0.64s
  round  46/50: acc=0.5141  f1m=0.3650  uplink_kB=52.6  t=0.65s
  round  47/50: acc=0.5141  f1m=0.3652  uplink_kB=52.6  t=0.67s
  round  48/50: acc=0.5141  f1m=0.3651  uplink_kB=52.6  t=0.67s
  round  49/50: acc=0.5145  f1m=0.3660  uplink_kB=52.6  t=0.59s
  round  50/50: acc=0.5147  f1m=0.3666  uplink_kB=52.6  t=0.66s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_toniot/lrsweep_mlp32_lr0p0003__dir0.1__seed11/metrics.json  final_acc=0.5147
