round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,4.348421911001424,288800,288800,0.9273999267639293,0.9273912869482226,0.9273930118584255
2,2.729858057999081,288800,288800,0.9400620579335864,0.9400620240714649,0.9400621221847915
3,2.657700478001061,288800,288800,0.9659259544780002,0.9659044529476464,0.965902588271568
4,2.759623513000406,288800,288800,0.9658103185769075,0.9657853029772572,0.9657832881784257
5,2.7963120690001233,288800,288800,0.9659259544780002,0.9659009523038411,0.9658989414528234
6,2.6747357610001927,288800,288800,0.9705513905217107,0.9705368419356486,0.9705354160985064
7,2.777183813999727,288800,288800,0.972440110239559,0.9724241317048601,0.9724226860888304
8,2.6518236750016513,288800,288800,0.9722859290381021,0.9722702195069379,0.972268782116637
9,2.7821565849990293,288800,288800,0.9723822922890126,0.9723665102911223,0.9723650720929276
10,2.8080697060013335,288800,288800,0.9725557461406518,0.9725402902183453,0.9725388714374998
11,2.658108577999883,288800,288800,0.9722088384373735,0.9721925186277769,0.9721910515327217
12,2.7846870260000287,288800,288800,0.9726328367413803,0.97261732385247,0.9726159044545372
13,2.667440090999662,288800,288800,0.9735771966003045,0.9735636166067985,0.97356231172647
14,2.784851073000027,288800,288800,0.9737699231021257,0.9737560726415643,0.9737547596364943
15,2.8083444730000338,288800,288800,0.9734615606992117,0.9734469290860975,0.9734455716375903
16,2.7817835910009308,288800,288800,0.9737506504519436,0.9737365796069963,0.9737352557056816
17,2.6443802199992206,288800,288800,0.9738855590032185,0.9738715837896077,0.9738702677903259
18,2.768750307001028,288800,288800,0.9734615606992117,0.973446736142064,0.9734453697677103
19,2.6704132659997413,288800,288800,0.9738277410526721,0.9738135239029039,0.9738121950874168
20,2.784221466001327,288800,288800,0.9738470137028543,0.9738329711448698,0.9738316510042272
21,2.7508547010002076,288800,288800,0.9740011949043113,0.97398765031424,0.9739863576295459
22,2.6435592329999054,288800,288800,0.9753502804170602,0.9753389537026558,0.9753378026966056
23,2.7993375019996165,288800,288800,0.9739819222541292,0.973968298811551,0.973967001887363
24,2.816730168000504,288800,288800,0.9752731898163316,0.9752618685312119,0.975260716003988
25,2.6308666260010796,288800,288800,0.9749841000635997,0.974973156760532,0.9749720170432541
26,2.803362937000202,288800,288800,0.9749841000635997,0.9749729132492367,0.9749717609155786
27,2.6641362849986763,288800,288800,0.9750997359646925,0.9750888432470011,0.9750877087980617
28,2.8111772640004347,288800,288800,0.9749262821130533,0.9749154144211284,0.9749142773385474
29,2.794003402999806,288800,288800,0.9754080983676066,0.9753968185451294,0.9753956712724562
30,2.625789731000623,288800,288800,0.9751382812650567,0.975127723941863,0.9751266079666329
31,2.7368094749999727,288800,288800,0.9756393701697921,0.9756282366388059,0.9756271022032771
32,2.682495008000842,288800,288800,0.9756393701697921,0.9756281157860782,0.9756269752072804
33,2.817005111000981,288800,288800,0.9755622795690635,0.9755511912647545,0.9755500573476622
34,2.7466690559995186,288800,288800,0.9756971881203385,0.97568589992063,0.9756847589845234
35,2.7607351369988464,288800,288800,0.9756393701697921,0.9756279129130974,0.975626762095314
36,2.637460715999623,288800,288800,0.9756779154701563,0.9756665980906443,0.9756654552274764
37,2.8194532500001515,288800,288800,0.9756971881203385,0.97568589992063,0.9756847589845234
38,2.8072711040003924,288800,288800,0.9757742787210669,0.9757631468367773,0.9757620156291112
39,2.621890278000137,288800,288800,0.9757742787210669,0.9757631067395356,0.9757619734954485
40,2.802630533999036,288800,288800,0.9758128240214312,0.9758015895324272,0.9758004540250411
41,2.6407212110007094,288800,288800,0.9758128240214312,0.9758015089610388,0.9758003693872205
42,2.8690850290004164,288800,288800,0.9756971881203385,0.9756858594785437,0.9756847164995054
43,2.7797309329998825,288800,288800,0.9757357334207026,0.9757245436635444,0.9757234086163642
44,2.65775599600056,288800,288800,0.9756971881203385,0.9756860208123916,0.9756848860050192
45,2.7639308050002,288800,288800,0.975793551371249,0.9757822877986126,0.9757811503690257
46,2.6637883150015114,288800,288800,0.9757357334207026,0.9757246239133248,0.9757234929454567
47,2.810326680999424,288800,288800,0.9757164607705205,0.9757053624722274,0.9757042316266844
48,2.7953995970001415,288800,288800,0.9756586428199742,0.9756474578001988,0.9756463211929733
49,2.7738760790016386,288800,288800,0.9758128240214312,0.9758016698155269,0.9758005383745331
50,2.644638796000436,288800,288800,0.9756779154701563,0.9756667191869854,0.9756655824574273
