round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,3.5992764760012506,53840,53840,0.9275733806155685,0.9275652714829535,0.9275669405758232
2,2.0781798450007045,53840,53840,0.9322951799101894,0.9322900870686912,0.9322913659377784
3,1.9488736280000012,53840,53840,0.9516449206930445,0.9516369527725432,0.9516356008581038
4,2.122535106998839,53840,53840,0.9644612330641587,0.9644376208616388,0.9644356252155022
5,2.127248939999845,53840,53840,0.970300846069343,0.9702861991583134,0.9702847624387418
6,1.9622569650000514,53840,53840,0.9721702931370093,0.9721541581691034,0.9721526984001895
7,2.120931917999769,53840,53840,0.9721895657871914,0.9721734161490256,0.9721719562217356
8,1.9649420850000752,53840,53840,0.9722473837377378,0.9722312934650339,0.9722298377398012
9,2.100179428998672,53840,53840,0.9722859290381021,0.9722698095833182,0.9722683535494328
10,2.114655755000058,53840,53840,0.9722473837377378,0.9722312418636844,0.972229783804717
11,1.9763176849992306,53840,53840,0.9722088384373735,0.9721925705494057,0.9721911057913655
12,2.078512841000702,53840,53840,0.974579374409775,0.9745673120569717,0.9745661058216912
13,1.9460748490000697,53840,53840,0.9746950103108678,0.974683256618388,0.9746820686333699
14,2.092448904999401,53840,53840,0.9746564650105036,0.9746445666660666,0.9746433704801936
15,2.0869155319996935,53840,53840,0.9748877368126891,0.9748761559917383,0.9748749812765072
16,2.131400845000826,53840,53840,0.9748877368126891,0.974876114352308,0.9748749375261224
17,2.0205357459999504,53840,53840,0.9750611906643283,0.9750495447772126,0.9750483708385471
18,2.1345000649998838,53840,53840,0.9750804633145104,0.9750689300518298,0.9750677622573112
19,1.9801718610015087,53840,53840,0.975176826565421,0.9751652760227811,0.9751641096140964
20,2.104898903000503,53840,53840,0.9747528282614142,0.9747405708469998,0.9747393590466246
21,2.1025769259995286,53840,53840,0.9747913735617785,0.9747791776743042,0.9747779698432046
22,1.9599899329987238,53840,53840,0.9750997359646925,0.9750881909500047,0.9750870230120818
23,2.118442485001651,53840,53840,0.9749262821130533,0.9749141302113269,0.9749129277902279
24,2.1136125499997434,53840,53840,0.9748299188621428,0.9748178694163592,0.9748166697799068
25,1.9827748669995344,53840,53840,0.9750033727137819,0.9749912156832563,0.9749900148576887
26,2.116345001000809,53840,53840,0.9749455547632355,0.974933348290729,0.9749321436344904
27,1.9839821240002493,53840,53840,0.9749455547632355,0.974933348290729,0.9749321436344904
28,2.111735383999985,53840,53840,0.9750033727137819,0.9749910877647116,0.9749898806349333
29,2.1514921990001312,53840,53840,0.9750419180141461,0.9750296092861881,0.9750284019196436
30,1.9918570659992838,53840,53840,0.9750611906643283,0.9750490829587921,0.9750478859590322
31,2.12597104499946,53840,53840,0.975022645363964,0.9750106037114779,0.9750094090611434
32,1.9917093540007045,53840,53840,0.9750033727137819,0.9749913005898154,0.9749901039670013
33,2.0937088269984088,53840,53840,0.9750611906643283,0.9750490829587921,0.9750478859590322
34,2.1228680269996403,53840,53840,0.9750611906643283,0.9750491253138758,0.9750479304106321
35,1.9940575520013226,53840,53840,0.9751190086148747,0.9751068654553916,0.9751056680932437
36,2.116676802999791,53840,53840,0.9749455547632355,0.9749336451057602,0.974932455193033
37,2.103991803000099,53840,53840,0.9750033727137819,0.9749914273909631,0.9749902370721989
38,1.9698661039983563,53840,53840,0.9749648274134176,0.9749529479620972,0.974951760016965
39,2.1055136660015705,53840,53840,0.9750804633145104,0.9750684284214582,0.9750672354890767
40,1.9722204629997577,53840,53840,0.9750033727137819,0.9749914695090312,0.9749902812915956
41,2.0995520039996336,53840,53840,0.9749648274134176,0.9749529479620972,0.974951760016965
42,2.130099366999275,53840,53840,0.9749648274134176,0.9749528636706716,0.9749516715164122
43,1.9792720960012957,53840,53840,0.9760826411239809,0.9760725038160643,0.9760714312357323
44,2.1239093839994894,53840,53840,0.9758706419719776,0.9758600084838667,0.9758589051008028
45,1.9697697729989159,53840,53840,0.9761404590745273,0.9761302893550547,0.9761292163594428
46,2.1111945350003225,53840,53840,0.9761597317247095,0.9761495512271744,0.9761484780963707
47,2.141942897998888,53840,53840,0.9761404590745273,0.9761303652095661,0.9761292962248045
48,2.1047514359997876,53840,53840,0.9761404590745273,0.976130403030204,0.9761293360508533
49,1.968678376999378,53840,53840,0.9761597317247095,0.976149664917034,0.9761485977976463
50,2.1018364709998423,53840,53840,0.9761982770250737,0.9761881129875185,0.9761870415917688
