round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,3.121495829997002,144200,144200,0.6053184390677904,0.4588636498906111,0.5670163481336173
2,1.620612724997045,144200,144200,0.8058473173022267,0.6413322656569242,0.7924922344573119
3,1.6028323819991783,144200,144200,0.8489484220151744,0.6817796382436925,0.8424729237126417
4,1.6213678209969657,144200,144200,0.8499616933989076,0.6827260597905128,0.8436424137984242
5,1.6179695350001566,144200,144200,0.8716852433087018,0.7015962434634356,0.866960239556429
6,1.640402136996272,144200,144200,0.8724266613943603,0.7022900735933775,0.8678176032342851
7,1.63084740100021,144200,144200,0.8822133801250526,0.7094922128220619,0.8767172637002467
8,1.6297256569960155,144200,144200,0.8918271013024245,0.7170484027547653,0.886054423491542
9,1.6291211019997718,144200,144200,0.8913822504510294,0.7170775225309459,0.8860904067060599
10,1.6373612000024877,144200,144200,0.906111756419445,0.7291629822193456,0.9010243706835203
11,1.6622751340037212,144200,144200,0.9081630131231001,0.7309152140926348,0.9031895980187268
12,1.6636653639943688,144200,144200,0.9098682747201147,0.7324016726916548,0.9050264101668868
13,1.6679091140031232,144200,144200,0.9108074042952821,0.7332195896509303,0.9060371075438427
14,1.6457227900027647,144200,144200,0.9132293700417665,0.7353371212053226,0.9086537345294744
15,1.6120778510012315,144200,144200,0.9142179274893112,0.7361627795541855,0.9096739979168447
16,1.7701589630014496,144200,144200,0.9142920692978771,0.73622536102166,0.909751329636532
17,1.6363500890001887,144200,144200,0.9142426414254998,0.7361840762576939,0.909700314185421
18,1.6527551899998798,144200,144200,0.9147863480216494,0.7366396766936635,0.9102632981905242
19,1.6239542249968508,144200,144200,0.9152064849368559,0.7370408235052939,0.910758994025769
20,1.6228844709985424,144200,144200,0.9154536242987421,0.7372508514398444,0.9110185248743845
21,1.6492432349987212,144200,144200,0.9155030521711193,0.7372945103090798,0.9110724739998021
22,1.6424584929991397,144200,144200,0.9154783382349306,0.7372727370024378,0.9110455687942536
23,1.6086973630008288,144200,144200,0.9155524800434965,0.737333043582069,0.9111200894422918
24,1.6374248529973556,144200,144200,0.9154536242987421,0.7372663094927963,0.9110376263410972
25,1.6376867910003057,144200,144200,0.9157007636606282,0.7374617548180875,0.9112791375059779
26,1.6196500639998703,144200,144200,0.9157007636606282,0.7374652497078895,0.9112834561301553
27,1.6001092910009902,144200,144200,0.9177025924919062,0.738992153800254,0.9131702466453969
28,1.6132021459998214,144200,144200,0.9175543088747745,0.7388738862769273,0.913024103844163
29,1.6047233060016879,144200,144200,0.9175543088747745,0.7388736315488456,0.9130237890774849
30,1.595061073996476,144200,144200,0.9167881768529274,0.7382589601989563,0.9122642416515784
31,1.638225164002506,144200,144200,0.9175543088747745,0.7388727616824394,0.9130227141863424
32,1.6228239880001638,144200,144200,0.9175048810023972,0.7388332261581754,0.9129738602651502
33,1.6069968829979189,144200,144200,0.9175295949385859,0.7388511443263677,0.9129960016884161
34,1.622754130003159,144200,144200,0.9175048810023972,0.7388392056370326,0.9129812490880962
35,1.6541878420030116,144200,144200,0.9176284506833403,0.738936389023156,0.9131013382882581
36,1.627232749000541,144200,144200,0.9177025924919062,0.7390045741166655,0.913185594390759
37,1.6179274049936794,144200,144200,0.9176284506833403,0.7389363266380837,0.9131012611992237
38,1.6324293590005254,144200,144200,0.9175790228109632,0.7388982850178338,0.9130542532904553
39,1.623236169005395,144200,144200,0.9177273064280949,0.7390172091069969,0.9132012074079985
40,1.6245472419977887,144200,144200,0.9177273064280949,0.7390192236543164,0.9132036967776935
41,1.6254284649985493,144200,144200,0.9176778785557176,0.7389799513581563,0.9131551681266298
42,1.6760767149971798,144200,144200,0.9178014482366607,0.7390892327507178,0.913290206794748
43,1.6307440390010015,144200,144200,0.9176037367471517,0.738962628678939,0.9131337625471901
44,1.6438247830010368,144200,144200,0.9203964115364655,0.7410232296473149,0.9156800405893224
45,1.5994508689982467,144200,144200,0.9231149445172132,0.7431794947943204,0.9183445305517639
46,1.6341693380018114,144200,144200,0.9231149445172132,0.7432368450201807,0.9184153980428794
47,1.7643675150029594,144200,144200,0.9202234139831451,0.7408911434318508,0.9155168220743034
48,1.6152594919985859,144200,144200,0.9204458394088426,0.7411514676166786,0.9158385038389127
49,1.623132605003775,144200,144200,0.920618836962163,0.7412732230031212,0.9159889565814708
50,1.6635355059988797,144200,144200,0.9234115117514766,0.7434761236018826,0.9187110738228539
