round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,4.929445100016892,71000,71000,0.37760093451120685,0.16958198053029824,0.26384932765330654
2,3.463949747849256,71000,71000,0.37945048794139835,0.17409784257452823,0.2759433027991184
3,3.5417904388159513,71000,71000,0.540276459565355,0.2505128397013337,0.4154086312064394
4,3.377708008978516,71000,71000,0.6278990533206785,0.31759175665131717,0.5378278183857947
5,3.3841216363944113,71000,71000,0.6360030176924387,0.32544296782898324,0.5518736126974044
6,3.559106655884534,71000,71000,0.6261103404638485,0.32150999365574523,0.5421845862836576
7,3.4381527630612254,71000,71000,0.7076367087683434,0.4045422530947425,0.6400987667974388
8,3.502987696789205,71000,71000,0.7012119442213623,0.4007641371624093,0.6331903265828578
9,3.169972227420658,71000,71000,0.7116765228395513,0.4077270929137845,0.645184793641021
10,3.1385305668227375,71000,71000,0.7312550193473023,0.41927217253802074,0.6655075678600572
11,3.2806786987930536,71000,71000,0.7256090141393492,0.41676769161564464,0.6602738153852272
12,3.3004439198412,71000,71000,0.7378623056143682,0.4254641082198555,0.6740504174255625
13,3.534464931115508,71000,71000,0.7375702708622326,0.4233792102323016,0.6722389767886175
14,3.4070082283578813,71000,71000,0.7600691148913388,0.439057539612206,0.6974689186106773
15,3.5719282566569746,71000,71000,0.7704606848214938,0.5295338102440834,0.7143315587732467
16,3.3806434660218656,71000,71000,0.7741962960258938,0.5366624440649951,0.7220707023355147
17,3.5463717887178063,71000,71000,0.7749263829062325,0.5389799518261162,0.7230431703765008
18,3.400215190369636,71000,71000,0.7728578034119393,0.5346348580440553,0.7184933725764202
19,3.385722482111305,71000,71000,0.7770801392032318,0.5426131278421692,0.7262901083585203
20,3.1962670157663524,71000,71000,0.7804507069674624,0.548568979301899,0.7332179247153302
21,3.160140471998602,71000,71000,0.7809495996690273,0.5497323602591323,0.7334683462787488
22,3.3308383910916746,71000,71000,0.8017570757586819,0.6066919952412454,0.7688813920033187
23,3.330580090172589,71000,71000,0.7864009150422233,0.5587467322177316,0.7436316724324421
24,3.4822775698266923,71000,71000,0.7934340853228201,0.5757700605156263,0.7472853971306577
25,3.196650709025562,71000,71000,0.800163052736609,0.5857335545059782,0.7591970650167934
26,3.1764425886794925,71000,71000,0.812306831179577,0.6209411128043097,0.780782447058344
27,3.309194232802838,71000,71000,0.8159450974665985,0.6318949225782134,0.7863485674467635
28,3.1957212882116437,71000,71000,0.8246452994573021,0.6469969740280958,0.7995400787530073
29,3.4092982336878777,71000,71000,0.8116984254459614,0.6018189261159006,0.7771751222055496
30,3.1943034259602427,71000,71000,0.8596651334842179,0.6969988442256001,0.8426924968113472
31,3.389005082193762,71000,71000,0.8383344284636538,0.6645323419300961,0.8165854518208622
32,3.4626354379579425,71000,71000,0.8402326543525346,0.6717607019363591,0.8228236513299277
33,3.4488256108015776,71000,71000,0.8546275340098806,0.69160464768331,0.8363135208435823
34,3.573818144854158,71000,71000,0.8474726825825607,0.6777946388508307,0.8278762123847361
35,3.439291506074369,71000,71000,0.834172933245723,0.659418691172329,0.8122449639329063
36,3.4233539439737797,71000,71000,0.842191720814777,0.6691657115374335,0.8255804245834444
37,3.551024756859988,71000,71000,0.8516341778004916,0.6815679236659087,0.8317290415359037
38,3.1957214530557394,71000,71000,0.8571585018617216,0.6975820636302196,0.8426222159268022
39,3.339820477180183,71000,71000,0.8481906013482271,0.6860948472732586,0.8304677824271467
40,3.194686037953943,71000,71000,0.8590688958652747,0.7028817105034347,0.8502772841163138
41,3.270355542190373,71000,71000,0.8611374753595678,0.7042471129934673,0.8421980107669111
42,3.1760299769230187,71000,71000,0.8567691221922076,0.6907395277364391,0.8405632802338953
43,3.383785516023636,71000,71000,0.8582779684115743,0.7005087122028627,0.8379739385782281
44,3.4192991419695318,71000,71000,0.861843226010562,0.7212703367395612,0.8550376101863059
45,3.4979602922685444,71000,71000,0.8745102333844395,0.7348154479864363,0.8602335793162273
46,3.1708349687978625,71000,71000,0.8659560487698036,0.7289903639060114,0.8489416439155137
47,3.1605469821952283,71000,71000,0.8744737290404225,0.7339093829908793,0.8583684730271535
48,3.2822710969485343,71000,71000,0.859823318974958,0.7178364015335524,0.8396446013646016
49,3.17001944873482,71000,71000,0.8703852425105254,0.7314886474665347,0.8563942237121012
50,3.162848914042115,71000,71000,0.875739212966343,0.7349119819968916,0.8598972412909976
