round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,3.6489033670000026,53840,53840,0.937402432208453,0.937402356666089,0.9374025064255125
2,2.1204715119997672,53840,53840,0.9332395397691137,0.9332356312824208,0.9332367437735954
3,1.9818377900000996,53840,53840,0.950816196735213,0.9508096410738238,0.9508084043630777
4,2.098743291000119,53840,53840,0.965887409177636,0.9658779698876023,0.9658767339203095
5,1.9902493010004036,53840,53840,0.9707248443733498,0.9707113922395105,0.97071002525109
6,2.138341778999802,53840,53840,0.970898298224989,0.9708848052124667,0.9708834402076189
7,2.1199980739997955,53840,53840,0.97290265384393,0.9728878854062424,0.9728865073439312
8,1.996542789999694,53840,53840,0.9731146529959335,0.9731002172049326,0.9730988600964607
9,2.1018711970000368,53840,53840,0.9739048316534007,0.9738920291159696,0.9738907700326541
10,2.124281719999999,53840,53840,0.9738855590032185,0.9738727246886539,0.9738714635777445
11,1.9884025960000145,53840,53840,0.9737891957523079,0.9737764704976486,0.9737752124453506
12,2.171787955000127,53840,53840,0.9748877368126891,0.9748764453726291,0.9748752854337865
13,1.9678310369999963,53840,53840,0.9749262821130533,0.9749148846226814,0.9749137201412962
14,2.131044412000392,53840,53840,0.9749841000635997,0.9749727494177061,0.9749715886729224
15,2.1049269889999778,53840,53840,0.9751190086148747,0.9751074931917343,0.9751063272035488
16,1.9965446670003075,53840,53840,0.9750611906643283,0.9750497104817426,0.9750485449286139
17,2.136738344999685,53840,53840,0.9749455547632355,0.9749341041380124,0.974932937392611
18,2.0416902590000063,53840,53840,0.975022645363964,0.9750110646061966,0.975009893052367
19,2.1121681609997722,53840,53840,0.9751382812650567,0.9751268776827718,0.9751257178224674
20,2.125771917000293,53840,53840,0.9751190086148747,0.9751076577707133,0.9751065001485199
21,2.106903902999875,53840,53840,0.9752924624665138,0.9752810478146775,0.97527989099346
22,1.989725423999971,53840,53840,0.9750997359646925,0.9750885602040666,0.9750874111040204
23,2.1103570230002333,53840,53840,0.9751960992156031,0.9751848651316808,0.975183715266207
24,1.9957360139997036,53840,53840,0.9752539171661495,0.9752425666237823,0.975241412158177
25,2.0938128090001555,53840,53840,0.975176826565421,0.9751656854046731,0.9751645398622123
26,2.1041102369999862,53840,53840,0.9752924624665138,0.9752811296041191,0.9752799769367467
27,1.9687997979999636,53840,53840,0.976236822325438,0.9762273816955448,0.9762263499826068
28,2.096741118999944,53840,53840,0.9762753676258022,0.976265905797786,0.9762648737644213
29,2.1057407039997997,53840,53840,0.9761404590745273,0.9761310716480729,0.9761300407645069
30,1.9860210549995827,53840,53840,0.9762753676258022,0.976265905797786,0.9762648737644213
31,2.140461895000044,53840,53840,0.9761982770250737,0.97618889412929,0.9761878647436361
32,1.9719499259999793,53840,53840,0.976236822325438,0.9762274909829995,0.9762264652615059
33,2.1033317239998723,53840,53840,0.9762946402759843,0.9762853859100198,0.9762843656726012
34,2.113096162000147,53840,53840,0.9763524582265307,0.976342990680503,0.9763419600131608
35,1.9743381660000523,53840,53840,0.9763139129261664,0.9763046841249206,0.976303665712283
36,2.145003215000088,53840,53840,0.9764488214774414,0.9764394831664438,0.9764384616474286
37,1.9948238229999333,53840,53840,0.9764295488272592,0.976420257101313,0.9764192377177869
38,2.155692971999997,53840,53840,0.9764488214774414,0.9764394831664438,0.9764384616474286
39,2.1373621420002564,53840,53840,0.9764102761770771,0.9764009949089186,0.9763999756831637
40,1.9779545639999014,53840,53840,0.9762946402759843,0.9762854580262059,0.9762844417732922
41,2.109661463000066,53840,53840,0.9763139129261664,0.9763047201536981,0.9763037037316933
42,2.1307954529997915,53840,53840,0.9764488214774414,0.9764395193056727,0.976438499765993
43,2.0112623909999456,53840,53840,0.9966851041686743,0.9966851026603696,0.9966851075300388
44,2.259473459000219,53840,53840,0.9967236494690385,0.9967236482995478,0.99672365256253
45,2.1165899299999182,53840,53840,0.9966851041686743,0.9966851026603696,0.9966851075300388
46,2.267274423999879,53840,53840,0.9967043768188564,0.9967043754037846,0.9967043801068172
47,2.25979418299994,53840,53840,0.9967236494690385,0.9967236481437778,0.9967236526817914
48,2.1494579179998254,53840,53840,0.996800740069767,0.9968007389277938,0.9968007430904705
49,2.2644627360000413,53840,53840,0.9969934665715883,0.9969934645067495,0.9969934699329535
50,2.1219382600002064,53840,53840,0.9968200127199491,0.9968200113545291,0.9968200158925429
