round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,5.413447521161288,179360,179360,0.23647735404023004,0.09385305361202759,0.12436468556969708
2,4.034223168157041,179360,179360,0.27864203747382926,0.13450165704418982,0.17822815180901308
3,4.090012377128005,179360,179360,0.4319693636869584,0.3514719286033244,0.3730371047546917
4,4.046588634606451,179360,179360,0.5294569740015371,0.4823809086059641,0.5163175615797232
5,3.9276698059402406,179360,179360,0.5109718283730421,0.44836350249046497,0.4667692452304538
6,3.9331685579381883,179360,179360,0.549055203667877,0.4821171551895005,0.5101508408725348
7,3.9588899021036923,179360,179360,0.6268120743116106,0.6085640793882572,0.5896619105019578
8,4.008293719962239,179360,179360,0.692629793549413,0.6769981110544329,0.6817397868019716
9,4.0375437890179455,179360,179360,0.6964725836800678,0.6766773937613986,0.6853782310044803
10,4.131178631912917,179360,179360,0.6680756897145734,0.6349075613400296,0.6360882701832905
11,4.064547448884696,179360,179360,0.6957702806561895,0.6700513367479364,0.6859420208539492
12,4.126561481971294,179360,179360,0.686998118357936,0.6480001615904808,0.6546505724130668
13,3.9406392402015626,179360,179360,0.7365568600429332,0.7062282115005162,0.7248200943430717
14,4.076615863014013,179360,179360,0.69478970662285,0.6571555916859463,0.6596384853863826
15,3.9519277927465737,179360,179360,0.7359870670235603,0.7047901424768657,0.7238714659885178
16,3.9543850352056324,179360,179360,0.693199586568786,0.6571109816966512,0.657874959853646
17,3.9716774518601596,179360,179360,0.8214295179286036,0.7852608872443494,0.8202583123472528
18,3.9318262920714915,179360,179360,0.827246707126388,0.7907120952079679,0.8254978952512693
19,3.98703886102885,179360,179360,0.7974849601144887,0.7667863951389077,0.7954223712442744
20,3.995613076724112,179360,179360,0.7861421037288315,0.7619829643813038,0.7851018132768144
21,3.9874313957989216,179360,179360,0.8269286831155752,0.7928320063983725,0.8256846508272676
22,4.006167323794216,179360,179360,0.8114117615879999,0.7797584843729843,0.8100372253482517
23,4.000018352642655,179360,179360,0.8090663345082554,0.7773363138028604,0.8082423444332999
24,4.012214459013194,179360,179360,0.802878117297856,0.777547567457183,0.8001985632917206
25,3.9802775168791413,179360,179360,0.8279755121511674,0.7959414679820046,0.8262824308128649
26,4.0340521838516,179360,179360,0.8110937375771871,0.7838624732470324,0.8103184096608443
27,4.026831021998078,179360,179360,0.8079134974690589,0.7803054173931545,0.8072272815486911
28,3.9697059858590364,179360,179360,0.8206079559006705,0.791564840167875,0.8174479436594208
29,3.958220303989947,179360,179360,0.818885325842101,0.7911952864998736,0.8154600507553732
30,3.9447789546102285,179360,179360,0.7953780510428538,0.7678718475465933,0.7876606376811979
31,3.955935914069414,179360,179360,0.8342829883656216,0.8035408575281542,0.8320724442305422
32,4.131759317126125,179360,179360,0.8108949725704291,0.7831611675109246,0.8076162843090272
33,3.985134767834097,179360,179360,0.7945432380144701,0.7699931589924999,0.7906888462649222
34,4.112624105997384,179360,179360,0.8061378634086873,0.7807294123478309,0.8017342925351092
35,4.110057071782649,179360,179360,0.7958020830572708,0.7722793391031174,0.7905230291448381
36,4.054495599120855,179360,179360,0.8135319216600854,0.7901478388373752,0.8092481776231893
37,4.0076112491078675,179360,179360,0.7919592929266159,0.7682874694481798,0.7881659175909148
38,3.9868082837201655,179360,179360,0.8154135637240612,0.7898237579720738,0.8105533016409696
39,3.9808977800421417,179360,179360,0.8204356928948136,0.7956693871897107,0.8168340171530055
40,3.965564629994333,179360,179360,0.8183817878249808,0.7937623764275585,0.815817173190776
41,3.959820498712361,179360,179360,0.818262528820926,0.7908401234117794,0.814032582351869
42,3.9720430048182607,179360,179360,0.8004929372167598,0.7797518416584002,0.7976710159230486
43,3.9323335927911103,179360,179360,0.8043887313492168,0.7831643524459697,0.8008596047829813
44,3.9467503163032234,179360,179360,0.8011289852383855,0.7795184394234699,0.7946255665693592
45,3.9599777297116816,179360,179360,0.8075027164550923,0.7839393436008515,0.8032440914894295
46,3.9599449881352484,179360,179360,0.8201309198844513,0.7960436777173723,0.817824047929589
47,4.075178134255111,179360,179360,0.8133199056528768,0.7906185342674543,0.8100917518123788
48,3.9424869981594384,179360,179360,0.8231919009885247,0.8010363659185558,0.8215144111754441
49,3.95859955297783,179360,179360,0.8236424350038428,0.799775062336261,0.8213322388755204
50,3.954834373202175,179360,179360,0.7955635650491613,0.7803244143540737,0.7949928967655757
