round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,4.51474918005988,160400,160400,0.3073172024487849,0.2407638913661799,0.23178184002780838
2,3.0807288670912385,160400,160400,0.376898205814539,0.2492857042609237,0.2495382941320013
3,3.0184928262606263,160400,160400,0.46856862693133333,0.3611460947192245,0.3983131055029859
4,2.9963641837239265,160400,160400,0.59702382529881,0.4757155250625294,0.5498815077405108
5,2.994648856110871,160400,160400,0.5538653168314208,0.43015158149125277,0.4890278522106464
6,3.2215766571462154,160400,160400,0.5516391487557311,0.4316196737712321,0.48877774378635297
7,3.086054805200547,160400,160400,0.5583706569846023,0.43729022624696656,0.4960549814169887
8,2.9753517117351294,160400,160400,0.5700050353801712,0.4536056217206462,0.5176865575118288
9,2.978922678157687,160400,160400,0.5807648477460048,0.46482792842587173,0.5322671974246421
10,3.1079732649959624,160400,160400,0.6343121405666128,0.5156596452513221,0.5996606728742232
11,3.123377106152475,160400,160400,0.6461717859698407,0.5305453419977828,0.6173541457631294
12,3.141705632675439,160400,160400,0.6499085680968913,0.5385815203660604,0.6248504878869224
13,3.0214558262377977,160400,160400,0.6569846023374765,0.5501189364640575,0.6355245305156909
14,3.10828476306051,160400,160400,0.7050062279702117,0.5928631511546456,0.6922328707402695
15,3.0995173463597894,160400,160400,0.6904301274746243,0.579650210388877,0.672097888088951
16,3.069943648763001,160400,160400,0.7344632019717489,0.6173073705490024,0.7198089714713375
17,3.0479090120643377,160400,160400,0.7711817242201786,0.6474322591425297,0.7605312024456687
18,3.196593507193029,160400,160400,0.7609387008719158,0.6401181605712234,0.7477721973847793
19,3.1016860459931195,160400,160400,0.7460313253650651,0.6248216988966883,0.7294446308834241
20,3.0089275571517646,160400,160400,0.7575464447565792,0.6377074311318225,0.7434877241455307
21,3.013972767163068,160400,160400,0.7380277210929426,0.6173536275552782,0.7181918689478863
22,3.125575174111873,160400,160400,0.7568573927331513,0.6383245813958176,0.7443626316678562
23,3.1472267992794514,160400,160400,0.743076352264596,0.6174392619736903,0.7156587562076255
24,2.9569054092280567,160400,160400,0.7740306893170434,0.6505786703516192,0.7616535744497912
25,2.983815147075802,160400,160400,0.7452230143375825,0.6770174134976206,0.72396927233219
26,3.0004036631435156,160400,160400,0.7713937402273872,0.7013559843594936,0.7592565120724545
27,2.960709051694721,160400,160400,0.7635756499615721,0.6940365039479077,0.7475407833794363
28,2.9920990080572665,160400,160400,0.749675350488962,0.6815003439555555,0.7288801199494569
29,3.0128699191845953,160400,160400,0.7846314896774707,0.71348330656572,0.7730018581845867
30,3.0119377789087594,160400,160400,0.7696181061670156,0.7053458297869971,0.7538408982421757
31,3.055737511254847,160400,160400,0.7837304216468344,0.7180210835343283,0.7713226289698326
32,3.1052011707797647,160400,160400,0.7807224445445631,0.7155488878505423,0.768306555201371
33,3.083154438994825,160400,160400,0.76451647099356,0.6983668711202131,0.7446883562946863
34,3.0279890061356127,160400,160400,0.7744679723319111,0.708558100990211,0.7592549611085304
35,3.230500475037843,160400,160400,0.7757798213765139,0.7119175638038036,0.7622555045888236
36,3.077459149993956,160400,160400,0.793125380966263,0.7269671999518629,0.7835256637106798
37,3.030768738128245,160400,160400,0.7923700739405826,0.7268452112833144,0.7816483177765476
38,3.091599924955517,160400,160400,0.7801791535260912,0.7137643783799527,0.7655274426676767
39,3.115798972081393,160400,160400,0.7951395330347442,0.7307363292140236,0.7847340642134346
40,3.0579600371420383,160400,160400,0.7836244136432301,0.7193423897286694,0.7695621331314499
41,3.041461491957307,160400,160400,0.8017517822595606,0.7331852719442902,0.7912086303211658
42,3.063756262883544,160400,160400,0.8013277502451435,0.7359189068292713,0.7913171154121054
43,3.0479097929783165,160400,160400,0.7755545543688549,0.7093930128910031,0.7569729524558542
44,3.1007005870342255,160400,160400,0.8133729096546789,0.7436257778726719,0.8050773189224519
45,3.1529324827715755,160400,160400,0.7786287864733787,0.713705699314682,0.7606245194829538
46,3.163304209243506,160400,160400,0.8179445048101132,0.7477832426770649,0.8096528426723564
47,3.1877383086830378,160400,160400,0.7829883656216045,0.7189444356979469,0.7666236062622347
48,3.111603183206171,160400,160400,0.8084965414888824,0.6943582032400644,0.798084814557781
49,3.1465990357100964,160400,160400,0.7939071899928445,0.7296227584186029,0.7813887897758856
50,3.079056960064918,160400,160400,0.8089073225028489,0.7417600560203954,0.7997309498550849
