round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,2.9789087499999987,307520,153760,0.6120415518337927,0.5617888706693052,0.5621120482329945
2,1.9960182079999989,307520,153760,0.6749282093780716,0.6749271424889344,0.6749284250258759
3,1.9660240410000007,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
4,1.991947290999999,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
5,2.0278114159999987,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
6,1.9757344159999946,307520,153760,0.5010889047352901,0.3338169399257899,0.3345439296190004
7,1.9555438340000038,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
8,1.9646496249999998,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
9,1.9637520409999993,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
10,1.9249351249999975,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
11,1.9037475410000013,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
12,1.9438252500000033,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
13,1.8567180410000006,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
14,1.9605295419999962,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
15,2.033290749999999,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
16,1.9622528329999938,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
17,2.042417499999999,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
18,1.954656541999995,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
19,1.923594291999997,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
20,2.2076936250000045,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
21,2.1786620000000028,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
22,2.1245364580000086,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
23,2.166186209000003,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
24,1.773218,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
25,1.4730457089999902,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
26,1.5345804170000008,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
27,1.5470740420000055,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
28,1.7192136660000017,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
29,1.6179278750000066,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
30,1.6225846250000018,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
31,1.6035317919999983,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
32,1.5800952499999994,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
33,1.6211132910000003,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
34,1.829770417000006,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
35,1.6789985000000058,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
36,1.642122707999988,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
37,1.6179939170000068,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
38,1.83613141699999,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
39,1.7661606670000083,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
40,1.9396082920000026,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
41,1.7631894170000066,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
42,1.7110724590000075,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
43,1.7041312080000068,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
44,1.6758426669999977,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
45,1.4693331249999915,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
46,1.515740790999999,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
47,1.3914524579999892,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
48,1.5324201250000016,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
49,1.506965374999993,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
50,1.2791365420000034,307520,153760,0.49891109526470984,0.3328490240954561,0.3321241423385076
