[run] device=cpu  seed=31  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/scaffold_sgd/scaffold_sgd_mlp80__dir0.1__seed31
[run] model=mlp  params=3,362
  round   1/50: acc=0.5856  f1m=0.5202  uplink_kB=262.7  t=1.70s
  round   2/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.97s
  round   3/50: acc=0.5011  f1m=0.3338  uplink_kB=262.7  t=0.92s
  round   4/50: acc=0.5011  f1m=0.3338  uplink_kB=262.7  t=0.89s
  round   5/50: acc=0.5011  f1m=0.3338  uplink_kB=262.7  t=0.79s
  round   6/50: acc=0.5011  f1m=0.3338  uplink_kB=262.7  t=0.88s
  round   7/50: acc=0.5011  f1m=0.3338  uplink_kB=262.7  t=0.89s
  round   8/50: acc=0.5011  f1m=0.3338  uplink_kB=262.7  t=0.93s
  round   9/50: acc=0.5011  f1m=0.3338  uplink_kB=262.7  t=0.90s
  round  10/50: acc=0.6605  f1m=0.6157  uplink_kB=262.7  t=0.97s
  round  11/50: acc=0.5011  f1m=0.3338  uplink_kB=262.7  t=0.89s
  round  12/50: acc=0.7316  f1m=0.7104  uplink_kB=262.7  t=0.80s
  round  13/50: acc=0.5011  f1m=0.3338  uplink_kB=262.7  t=0.88s
  round  14/50: acc=0.7375  f1m=0.7178  uplink_kB=262.7  t=0.87s
  round  15/50: acc=0.5011  f1m=0.3338  uplink_kB=262.7  t=0.89s
  round  16/50: acc=0.7659  f1m=0.7522  uplink_kB=262.7  t=0.87s
  round  17/50: acc=0.5011  f1m=0.3338  uplink_kB=262.7  t=0.81s
  round  18/50: acc=0.7575  f1m=0.7472  uplink_kB=262.7  t=0.80s
  round  19/50: acc=0.5011  f1m=0.3338  uplink_kB=262.7  t=0.87s
  round  20/50: acc=0.7598  f1m=0.7449  uplink_kB=262.7  t=0.89s
  round  21/50: acc=0.5011  f1m=0.3338  uplink_kB=262.7  t=0.87s
  round  22/50: acc=0.8538  f1m=0.8522  uplink_kB=262.7  t=0.85s
  round  23/50: acc=0.5011  f1m=0.3338  uplink_kB=262.7  t=0.88s
  round  24/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.88s
  round  25/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.78s
  round  26/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.88s
  round  27/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.88s
  round  28/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.86s
  round  29/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.87s
  round  30/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.79s
  round  31/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.93s
  round  32/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.90s
  round  33/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=1.00s
  round  34/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.91s
  round  35/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.88s
  round  36/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.83s
  round  37/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.97s
  round  38/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.90s
  round  39/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.91s
  round  40/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.91s
  round  41/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.91s
  round  42/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.96s
  round  43/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=1.01s
  round  44/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.98s
  round  45/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=1.10s
  round  46/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.99s
  round  47/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=1.01s
  round  48/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.91s
  round  49/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=0.80s
  round  50/50: acc=0.4989  f1m=0.3328  uplink_kB=262.7  t=1.00s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/scaffold_sgd/scaffold_sgd_mlp80__dir0.1__seed31/metrics.json  final_acc=0.4989
