round,wallclock_s,comm_uplink_bytes,comm_downlink_bytes,accuracy,f1_macro,f1_weighted
1,1.8769219589999988,268960,134480,0.9211555881049203,0.9211542469197909,0.921154955115677
2,1.0131435829999997,268960,134480,0.9225046736176692,0.9224867050583342,0.9224892752446695
3,0.8783928329999995,268960,134480,0.7750688997244011,0.7632138433051514,0.763329228436536
4,0.9102022500000011,268960,134480,0.7816408734365062,0.7708795508886528,0.7709876904571639
5,1.0204710840000004,268960,134480,0.8132480197351938,0.8087202521461709,0.8087843430565504
6,0.7576550419999997,268960,134480,0.836876288858481,0.8329173237983516,0.832973335198351
7,0.7407917499999996,268960,134480,0.8229807080771677,0.8176543589211918,0.8177222296310052
8,0.6858854160000014,268960,134480,0.8387264632759651,0.8346848144256104,0.8347411075748881
9,0.6749234159999986,268960,134480,0.9156821554531964,0.9156820832950747,0.9156822531673194
10,0.7075569589999979,268960,134480,0.8484398789677569,0.8450910369996827,0.8451406397185702
11,0.6941790830000016,268960,134480,0.928575558425039,0.9285752984080643,0.9285755951951162
12,0.6568099580000002,268960,134480,0.862316187098888,0.8598309641888525,0.8598716111983813
13,0.7088202919999986,268960,134480,0.8926127931851909,0.8921143017818831,0.8921302727284591
14,0.768279125000003,268960,134480,0.8434675352207682,0.8426478270465498,0.8426725605642232
15,0.7850078750000016,268960,134480,0.8955422360128741,0.8950650464493488,0.8950804572583452
16,0.736588041000001,268960,134480,0.8643590880181934,0.8633444303219243,0.863370074768285
17,0.7473831659999988,268960,134480,0.9426060477576271,0.9425706053716997,0.9425674983200242
18,0.6843299579999993,268960,134480,0.8652649025767534,0.86466450065383,0.8646841318509627
19,0.7279157919999975,268960,134480,0.9385395185691985,0.9384055338394217,0.9383992775276596
20,0.7319042909999993,268960,134480,0.8747470464663596,0.8740139571470209,0.8740348866803925
21,0.7287960000000027,268960,134480,0.8801048432169908,0.879758684671418,0.8797727349284763
22,0.7207705830000002,268960,134480,0.9325842696629213,0.9325781830291964,0.9325795781399692
23,0.7510689580000047,268960,134480,0.8532580415132885,0.853253233514868,0.8532550628206643
24,0.7317768750000013,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
25,0.6756926660000033,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
26,0.7427766659999975,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
27,0.7421284169999964,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
28,0.8484137499999989,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
29,0.8294093749999973,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
30,0.7379385000000056,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
31,0.8283437090000021,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
32,0.6835485829999968,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
33,0.7172317079999999,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
34,0.7010852919999948,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
35,0.7165015829999959,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
36,0.7207490420000013,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
37,0.8427809590000024,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
38,0.7556178330000023,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
39,0.7936765839999964,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
40,0.7903870410000025,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
41,0.9527577499999964,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
42,0.9011012500000035,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
43,0.8060196250000047,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
44,0.7632206250000024,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
45,0.6505241249999969,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
46,0.7361084999999932,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
47,0.7786821669999995,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
48,0.783454583000001,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
49,0.731348582999999,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
50,0.8004203329999982,268960,134480,0.49891109526470984,0.3328490240954561,0.3321241423385076
