[run] device=cpu  seed=17  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/sensitivity_botiot/sens_G10__dir0.1__seed17
[run] model=kan  params=4,920
  round   1/50: acc=0.9659  f1m=0.9658  uplink_kB=223.4  t=2.94s
  round   2/50: acc=0.9728  f1m=0.9728  uplink_kB=223.4  t=2.21s
  round   3/50: acc=0.9750  f1m=0.9750  uplink_kB=223.4  t=2.26s
  round   4/50: acc=0.9746  f1m=0.9746  uplink_kB=223.4  t=2.29s
  round   5/50: acc=0.9751  f1m=0.9751  uplink_kB=223.4  t=2.22s
  round   6/50: acc=0.9970  f1m=0.9970  uplink_kB=223.4  t=2.23s
  round   7/50: acc=0.9754  f1m=0.9754  uplink_kB=223.4  t=2.16s
  round   8/50: acc=0.9970  f1m=0.9970  uplink_kB=223.4  t=2.13s
  round   9/50: acc=0.9974  f1m=0.9974  uplink_kB=223.4  t=2.48s
  round  10/50: acc=0.9973  f1m=0.9973  uplink_kB=223.4  t=2.29s
  round  11/50: acc=0.9972  f1m=0.9972  uplink_kB=223.4  t=2.35s
  round  12/50: acc=0.9974  f1m=0.9974  uplink_kB=223.4  t=2.23s
  round  13/50: acc=0.9975  f1m=0.9975  uplink_kB=223.4  t=2.29s
  round  14/50: acc=0.9971  f1m=0.9971  uplink_kB=223.4  t=2.34s
  round  15/50: acc=0.9974  f1m=0.9974  uplink_kB=223.4  t=2.30s
  round  16/50: acc=0.9972  f1m=0.9972  uplink_kB=223.4  t=2.31s
  round  17/50: acc=0.9972  f1m=0.9972  uplink_kB=223.4  t=2.33s
  round  18/50: acc=0.9972  f1m=0.9972  uplink_kB=223.4  t=2.27s
  round  19/50: acc=0.9971  f1m=0.9971  uplink_kB=223.4  t=2.27s
  round  20/50: acc=0.9972  f1m=0.9972  uplink_kB=223.4  t=2.33s
  round  21/50: acc=0.9974  f1m=0.9974  uplink_kB=223.4  t=2.28s
  round  22/50: acc=0.9975  f1m=0.9975  uplink_kB=223.4  t=2.35s
  round  23/50: acc=0.9972  f1m=0.9972  uplink_kB=223.4  t=2.28s
  round  24/50: acc=0.9972  f1m=0.9972  uplink_kB=223.4  t=2.29s
  round  25/50: acc=0.9973  f1m=0.9973  uplink_kB=223.4  t=2.27s
  round  26/50: acc=0.9974  f1m=0.9974  uplink_kB=223.4  t=2.31s
  round  27/50: acc=0.9971  f1m=0.9971  uplink_kB=223.4  t=2.29s
  round  28/50: acc=0.9973  f1m=0.9973  uplink_kB=223.4  t=2.26s
  round  29/50: acc=0.9982  f1m=0.9982  uplink_kB=223.4  t=2.33s
  round  30/50: acc=0.9983  f1m=0.9983  uplink_kB=223.4  t=2.29s
  round  31/50: acc=0.9971  f1m=0.9971  uplink_kB=223.4  t=2.33s
  round  32/50: acc=0.9986  f1m=0.9986  uplink_kB=223.4  t=2.27s
  round  33/50: acc=0.9988  f1m=0.9988  uplink_kB=223.4  t=2.29s
  round  34/50: acc=0.9986  f1m=0.9986  uplink_kB=223.4  t=2.22s
  round  35/50: acc=0.9984  f1m=0.9984  uplink_kB=223.4  t=2.34s
  round  36/50: acc=0.9989  f1m=0.9989  uplink_kB=223.4  t=2.30s
  round  37/50: acc=0.9987  f1m=0.9987  uplink_kB=223.4  t=2.35s
  round  38/50: acc=0.9987  f1m=0.9987  uplink_kB=223.4  t=2.21s
  round  39/50: acc=0.9989  f1m=0.9989  uplink_kB=223.4  t=2.28s
  round  40/50: acc=0.9989  f1m=0.9989  uplink_kB=223.4  t=2.24s
  round  41/50: acc=0.9988  f1m=0.9988  uplink_kB=223.4  t=2.18s
  round  42/50: acc=0.9988  f1m=0.9988  uplink_kB=223.4  t=2.35s
  round  43/50: acc=0.9987  f1m=0.9987  uplink_kB=223.4  t=2.67s
  round  44/50: acc=0.9988  f1m=0.9988  uplink_kB=223.4  t=2.48s
  round  45/50: acc=0.9989  f1m=0.9989  uplink_kB=223.4  t=2.31s
  round  46/50: acc=0.9988  f1m=0.9988  uplink_kB=223.4  t=2.53s
  round  47/50: acc=0.9988  f1m=0.9988  uplink_kB=223.4  t=2.36s
  round  48/50: acc=0.9989  f1m=0.9989  uplink_kB=223.4  t=2.36s
  round  49/50: acc=0.9987  f1m=0.9987  uplink_kB=223.4  t=2.62s
  round  50/50: acc=0.9989  f1m=0.9989  uplink_kB=223.4  t=2.40s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/sensitivity_botiot/sens_G10__dir0.1__seed17/metrics.json  final_acc=0.9989
