[run] device=cpu  seed=42  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/sensitivity_botiot/sens_h4__dir0.1__seed42
[run] model=kan  params=1,640
  round   1/50: acc=0.5367  f1m=0.4116  uplink_kB=84.2  t=2.30s
  round   2/50: acc=0.9651  f1m=0.9651  uplink_kB=84.2  t=1.51s
  round   3/50: acc=0.9684  f1m=0.9684  uplink_kB=84.2  t=1.52s
  round   4/50: acc=0.9736  f1m=0.9736  uplink_kB=84.2  t=1.48s
  round   5/50: acc=0.9741  f1m=0.9741  uplink_kB=84.2  t=1.50s
  round   6/50: acc=0.9738  f1m=0.9738  uplink_kB=84.2  t=1.45s
  round   7/50: acc=0.9741  f1m=0.9741  uplink_kB=84.2  t=1.53s
  round   8/50: acc=0.9740  f1m=0.9740  uplink_kB=84.2  t=1.49s
  round   9/50: acc=0.9740  f1m=0.9740  uplink_kB=84.2  t=1.54s
  round  10/50: acc=0.9742  f1m=0.9742  uplink_kB=84.2  t=1.51s
  round  11/50: acc=0.9752  f1m=0.9752  uplink_kB=84.2  t=1.52s
  round  12/50: acc=0.9754  f1m=0.9754  uplink_kB=84.2  t=1.41s
  round  13/50: acc=0.9755  f1m=0.9755  uplink_kB=84.2  t=1.53s
  round  14/50: acc=0.9752  f1m=0.9752  uplink_kB=84.2  t=1.60s
  round  15/50: acc=0.9742  f1m=0.9741  uplink_kB=84.2  t=1.47s
  round  16/50: acc=0.9965  f1m=0.9965  uplink_kB=84.2  t=1.76s
  round  17/50: acc=0.9741  f1m=0.9740  uplink_kB=84.2  t=1.55s
  round  18/50: acc=0.9756  f1m=0.9756  uplink_kB=84.2  t=1.47s
  round  19/50: acc=0.9753  f1m=0.9752  uplink_kB=84.2  t=1.72s
  round  20/50: acc=0.9754  f1m=0.9754  uplink_kB=84.2  t=1.74s
  round  21/50: acc=0.9752  f1m=0.9751  uplink_kB=84.2  t=1.59s
  round  22/50: acc=0.9755  f1m=0.9755  uplink_kB=84.2  t=1.61s
  round  23/50: acc=0.9755  f1m=0.9755  uplink_kB=84.2  t=1.55s
  round  24/50: acc=0.9748  f1m=0.9748  uplink_kB=84.2  t=1.52s
  round  25/50: acc=0.9963  f1m=0.9963  uplink_kB=84.2  t=1.44s
  round  26/50: acc=0.9757  f1m=0.9756  uplink_kB=84.2  t=1.51s
  round  27/50: acc=0.9752  f1m=0.9752  uplink_kB=84.2  t=1.48s
  round  28/50: acc=0.9965  f1m=0.9965  uplink_kB=84.2  t=1.61s
  round  29/50: acc=0.9962  f1m=0.9962  uplink_kB=84.2  t=1.52s
  round  30/50: acc=0.9751  f1m=0.9751  uplink_kB=84.2  t=1.52s
  round  31/50: acc=0.9963  f1m=0.9963  uplink_kB=84.2  t=1.51s
  round  32/50: acc=0.9753  f1m=0.9752  uplink_kB=84.2  t=1.46s
  round  33/50: acc=0.9753  f1m=0.9752  uplink_kB=84.2  t=1.51s
  round  34/50: acc=0.9961  f1m=0.9961  uplink_kB=84.2  t=1.48s
  round  35/50: acc=0.9752  f1m=0.9752  uplink_kB=84.2  t=1.51s
  round  36/50: acc=0.9968  f1m=0.9968  uplink_kB=84.2  t=1.53s
  round  37/50: acc=0.9965  f1m=0.9965  uplink_kB=84.2  t=1.54s
  round  38/50: acc=0.9757  f1m=0.9757  uplink_kB=84.2  t=1.52s
  round  39/50: acc=0.9964  f1m=0.9964  uplink_kB=84.2  t=1.44s
  round  40/50: acc=0.9965  f1m=0.9965  uplink_kB=84.2  t=1.45s
  round  41/50: acc=0.9965  f1m=0.9965  uplink_kB=84.2  t=1.40s
  round  42/50: acc=0.9753  f1m=0.9753  uplink_kB=84.2  t=1.42s
  round  43/50: acc=0.9965  f1m=0.9965  uplink_kB=84.2  t=1.48s
  round  44/50: acc=0.9965  f1m=0.9965  uplink_kB=84.2  t=1.50s
  round  45/50: acc=0.9965  f1m=0.9965  uplink_kB=84.2  t=1.52s
  round  46/50: acc=0.9968  f1m=0.9968  uplink_kB=84.2  t=1.49s
  round  47/50: acc=0.9966  f1m=0.9966  uplink_kB=84.2  t=1.54s
  round  48/50: acc=0.9968  f1m=0.9968  uplink_kB=84.2  t=1.49s
  round  49/50: acc=0.9966  f1m=0.9966  uplink_kB=84.2  t=1.51s
  round  50/50: acc=0.9966  f1m=0.9966  uplink_kB=84.2  t=1.53s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/sensitivity_botiot/sens_h4__dir0.1__seed42/metrics.json  final_acc=0.9966
