[run] device=cpu  seed=42  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/sensitivity_botiot/sens_k4__dir0.1__seed42
[run] model=kan  params=3,608
  round   1/50: acc=0.5067  f1m=0.3499  uplink_kB=166.6  t=2.86s
  round   2/50: acc=0.9695  f1m=0.9695  uplink_kB=166.6  t=2.05s
  round   3/50: acc=0.9672  f1m=0.9672  uplink_kB=166.6  t=2.04s
  round   4/50: acc=0.9738  f1m=0.9738  uplink_kB=166.6  t=2.05s
  round   5/50: acc=0.9740  f1m=0.9740  uplink_kB=166.6  t=2.04s
  round   6/50: acc=0.9742  f1m=0.9742  uplink_kB=166.6  t=2.01s
  round   7/50: acc=0.9738  f1m=0.9738  uplink_kB=166.6  t=2.06s
  round   8/50: acc=0.9742  f1m=0.9742  uplink_kB=166.6  t=2.08s
  round   9/50: acc=0.9754  f1m=0.9754  uplink_kB=166.6  t=2.03s
  round  10/50: acc=0.9753  f1m=0.9753  uplink_kB=166.6  t=2.04s
  round  11/50: acc=0.9752  f1m=0.9752  uplink_kB=166.6  t=2.03s
  round  12/50: acc=0.9747  f1m=0.9747  uplink_kB=166.6  t=1.99s
  round  13/50: acc=0.9747  f1m=0.9747  uplink_kB=166.6  t=2.03s
  round  14/50: acc=0.9751  f1m=0.9751  uplink_kB=166.6  t=2.26s
  round  15/50: acc=0.9749  f1m=0.9749  uplink_kB=166.6  t=2.23s
  round  16/50: acc=0.9966  f1m=0.9966  uplink_kB=166.6  t=2.07s
  round  17/50: acc=0.9966  f1m=0.9966  uplink_kB=166.6  t=2.09s
  round  18/50: acc=0.9756  f1m=0.9756  uplink_kB=166.6  t=2.06s
  round  19/50: acc=0.9756  f1m=0.9756  uplink_kB=166.6  t=2.06s
  round  20/50: acc=0.9967  f1m=0.9967  uplink_kB=166.6  t=2.11s
  round  21/50: acc=0.9957  f1m=0.9957  uplink_kB=166.6  t=2.00s
  round  22/50: acc=0.9757  f1m=0.9756  uplink_kB=166.6  t=2.07s
  round  23/50: acc=0.9756  f1m=0.9756  uplink_kB=166.6  t=1.99s
  round  24/50: acc=0.9973  f1m=0.9973  uplink_kB=166.6  t=1.98s
  round  25/50: acc=0.9972  f1m=0.9972  uplink_kB=166.6  t=1.98s
  round  26/50: acc=0.9974  f1m=0.9974  uplink_kB=166.6  t=2.13s
  round  27/50: acc=0.9972  f1m=0.9972  uplink_kB=166.6  t=2.09s
  round  28/50: acc=0.9974  f1m=0.9974  uplink_kB=166.6  t=2.07s
  round  29/50: acc=0.9973  f1m=0.9973  uplink_kB=166.6  t=2.17s
  round  30/50: acc=0.9963  f1m=0.9963  uplink_kB=166.6  t=2.18s
  round  31/50: acc=0.9973  f1m=0.9973  uplink_kB=166.6  t=2.22s
  round  32/50: acc=0.9973  f1m=0.9973  uplink_kB=166.6  t=2.15s
  round  33/50: acc=0.9974  f1m=0.9974  uplink_kB=166.6  t=2.26s
  round  34/50: acc=0.9976  f1m=0.9976  uplink_kB=166.6  t=2.26s
  round  35/50: acc=0.9972  f1m=0.9972  uplink_kB=166.6  t=2.17s
  round  36/50: acc=0.9975  f1m=0.9975  uplink_kB=166.6  t=2.10s
  round  37/50: acc=0.9973  f1m=0.9973  uplink_kB=166.6  t=2.11s
  round  38/50: acc=0.9974  f1m=0.9974  uplink_kB=166.6  t=2.25s
  round  39/50: acc=0.9971  f1m=0.9971  uplink_kB=166.6  t=2.01s
  round  40/50: acc=0.9970  f1m=0.9970  uplink_kB=166.6  t=2.06s
  round  41/50: acc=0.9973  f1m=0.9973  uplink_kB=166.6  t=2.08s
  round  42/50: acc=0.9974  f1m=0.9974  uplink_kB=166.6  t=2.06s
  round  43/50: acc=0.9971  f1m=0.9971  uplink_kB=166.6  t=2.13s
  round  44/50: acc=0.9972  f1m=0.9972  uplink_kB=166.6  t=2.08s
  round  45/50: acc=0.9974  f1m=0.9974  uplink_kB=166.6  t=2.07s
  round  46/50: acc=0.9972  f1m=0.9972  uplink_kB=166.6  t=2.01s
  round  47/50: acc=0.9968  f1m=0.9968  uplink_kB=166.6  t=2.08s
  round  48/50: acc=0.9974  f1m=0.9974  uplink_kB=166.6  t=2.10s
  round  49/50: acc=0.9972  f1m=0.9972  uplink_kB=166.6  t=2.07s
  round  50/50: acc=0.9971  f1m=0.9971  uplink_kB=166.6  t=2.08s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/sensitivity_botiot/sens_k4__dir0.1__seed42/metrics.json  final_acc=0.9971
